Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Gads;Sezona
87000.0;93.01;1;4;444.7;1201.7;4887.0;2007;30.0;3;4;90.5;90.5;6;3;57.0925;24.546389;2024;1
113000.0;34.89;1;5;1063.7;4709.0;16345.0;2008;0.0;4;4;65.9;57.0;5;3;56.875;24.119167;2024;1
165000.0;261.46;2;2;444.0;604.8;2007.0;2019;0.0;1;2;150.1;119.9;13;5;57.155;24.857778;2024;1
40500.0;70.84;1;5;1446.0;7202.7;22541.0;1975;32.0;3;3;46.8;44.0;8;2;56.858611;24.349722;2024;1
44500.0;62.13;1;5;1432.5;7352.4;22411.0;1981;25.0;4;4;61.4;59.3;6;3;57.0925;24.546389;2024;1
129900.0;38.27;1;5;791.2;3729.3;11981.0;2008;0.0;2;2;74.3;65.3;6;3;56.875;24.119167;2024;1
31000.0;93.49;2;5;630.0;3122.1;10202.0;1980;31.0;1;1;55.2;51.8;7;2;56.858611;24.349722;2024;1
40000.0;37.29;1;9;1324.0;9942.5;34654.0;1978;17.0;4;4;50.4;47.2;7;2;56.858611;24.349722;2024;1
40000.0;99.4;1;5;1615.2;6758.2;22497.0;1982;28.0;5;5;56.5;53.3;7;2;56.858611;24.349722;2023;1
55000.0;65.24;1;5;623.6;3004.5;9952.0;2006;0.0;4;4;69.4;63.3;7;3;56.787222;23.941944;2024;1
23000.0;53.37;1;3;425.8;1097.7;3955.0;1971;20.0;1;1;46.2;46.2;6;2;56.723056;24.805833;2024;1
130000.0;217.91;1;4;299.8;1196.9;3736.0;2013;0.0;2;2;73.3;65.3;6;3;57.155;24.857778;2024;1
148000.0;120.63;1;4;4488.3;9762.6;37744.0;2007;18.0;2;2;94.1;90.7;6;4;57.076944;24.323611;2024;1
18000.0;68.53;1;5;865.3;4324.6;13928.0;1980;29.0;3;3;41.3;33.9;8;1;56.858611;24.349722;2024;1
29120.0;35.54;1;5;1272.6;5556.6;21438.0;1972;30.0;3;3;51.6;44.4;7;2;56.787222;23.941944;2024;1
84500.0;68.31;2;4;885.8;3632.8;12172.0;2021;0.0;2;2;46.1;42.3;4;2;57.076944;24.323611;2024;1
55500.0;28.23;1;9;660.3;4777.7;17268.0;1990;5.0;7;7;61.0;57.2;9;3;56.787222;23.941944;2024;1
62000.0;87.91;1;5;923.5;4095.0;13605.0;1995;24.0;2;2;56.1;53.3;9;2;56.858611;24.349722;2024;1
59000.0;36.43;1;5;771.2;2955.2;10429.0;1986;0.0;4;4;53.7;52.1;8;2;56.836667;24.496111;2024;1
28000.0;75.47;1;4;818.5;3048.7;11240.0;1991;26.0;1;1;50.3;48.2;9;2;56.744444;24.721389;2024;1
10000.0;31.51;1;3;366.7;1170.0;3942.0;1970;30.0;3;3;29.1;29.1;4;1;56.832222;24.226667;2024;1
33000.0;42.34;1;5;768.3;3542.1;12310.0;1965;15.0;3;3;45.9;44.1;6;2;56.787222;23.941944;2024;1
62000.0;30.51;1;5;1459.3;6890.1;24471.0;1975;17.0;3;3;54.7;51.5;8;2;56.832222;24.226667;2024;1
20000.0;68.53;1;5;865.3;4324.6;13928.0;1980;29.0;3;3;41.3;33.9;8;1;56.858611;24.349722;2024;1
62000.0;105.38;1;5;797.8;3410.6;11411.0;1968;25.0;5;5;61.9;58.9;8;3;56.858611;24.349722;2024;1
87000.0;76.29;1;5;1885.9;9366.6;35631.0;2008;14.0;5;5;55.2;51.9;5;3;57.076944;24.323611;2024;1
136500.0;108.88;1;4;4488.3;9762.6;37744.0;2007;18.0;1;1;87.1;79.2;5;3;57.076944;24.323611;2024;1
47000.0;51.5;1;5;1369.8;6103.0;20989.0;1983;16.0;3;3;33.1;33.1;5;1;57.076944;24.323611;2024;1
51500.0;51.98;1;6;1096.9;5558.8;17369.0;1970;31.0;2;2;50.6;47.2;7;2;56.787222;23.941944;2024;1
28000.0;35.25;1;4;920.8;3276.9;11210.0;1977;30.0;2;2;50.8;49.3;7;2;56.723056;24.805833;2024;1
38000.0;93.49;2;5;630.0;3122.1;10202.0;1980;31.0;1;1;55.2;51.8;7;2;56.858611;24.349722;2024;1
86000.0;97.88;1;3;578.9;1817.6;5829.0;1985;15.0;1;1;62.1;62.1;7;2;57.076944;24.323611;2024;1
57000.0;22.93;1;9;901.0;6803.9;23862.0;1979;17.0;2;2;62.5;60.0;9;3;56.858611;24.349722;2024;1
149900.0;123.65;1;4;2718.4;7465.8;24622.0;2022;0.0;1;1;67.6;54.9;6;3;56.900833;24.047778;2024;1
73500.0;49.12;1;10;606.0;5234.6;17462.0;1979;39.0;3;3;77.3;72.1;12;4;56.858611;24.349722;2024;1
14000.0;77.41;1;3;1355.0;2932.8;10354.0;1975;30.0;3;3;43.0;35.7;6;1;56.875;24.119167;2024;1
33000.0;27.99;1;5;601.9;2846.7;9815.0;1964;25.0;1;1;41.1;41.1;5;2;56.787222;23.941944;2024;1
