Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;mat_223;mat_238;mat_214;mat_212;mat_215;mat_232;mat_243;mat_537;mat_213;mat_211;mat_545;mat_227;mat_216;mat_226;mat_224;mat_222;mat_231;mat_244;mat_241;mat_235;mat_234
23000.0;99.57;1;3;1504.2;4043.4;14818.0;1987;10;2;2;51.3;47.6;7;2;56.744444;24.721389;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28000.0;73.46;1;5;1344.0;7233.5;22037.0;1980;15;4;4;47.3;44.7;7;2;56.858611;24.349722;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25000.0;55.78;1;5;740.0;3601.5;10807.0;1980;15;1;1;28.9;28.9;5;1;56.858611;24.349722;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103000.0;131.76;1;5;1639.1;7453.6;20640.0;2004;0;5;5;85.3;80.3;8;2;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32000.0;56.89;1;3;413.1;1137.9;3989.0;1968;30;2;2;58.7;58.7;8;3;56.723056;24.805833;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45000.0;54.92;1;5;1808.0;8441.3;27314.0;1987;10;4;4;46.3;46.3;6;2;56.858611;24.349722;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102000.0;119.29;1;5;1915.7;9370.4;36030.0;2008;0;3;3;96.0;92.7;6;4;57.076944;24.323611;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44000.0;148.18;1;2;531.0;1205.0;4724.0;1953;40;2;2;52.6;52.6;7;3;56.875;24.119167;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79000.0;43.65;3;6;1563.7;5963.3;19292.0;2008;0;4;4;59.5;56.0;4;2;56.900833;24.047778;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89280.0;260.43;1;4;367.9;1524.8;4775.0;2016;0;3;3;73.9;67.9;5;3;57.155;24.857778;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65000.0;156.56;1;3;332.3;666.6;2504.0;2007;0;2;2;76.3;49.3;6;2;56.858611;24.349722;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
