Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
31000.0;1;5;2985.3;1976;30.0;46.8;6;2;57.246667;22.588611;1.0;2024;1;0;0;0
75000.0;1;3;2086.2;1978;27.0;104.1;12;5;56.666389;22.493611;2.5;2024;1;0;0;0
39500.0;1;4;1844.4;1992;26.0;53.1;5;2;57.246667;22.588611;1.0;2024;1;0;0;0
17381.5;1;5;2518.8;1970;30.0;48.0;7;2;56.966667;23.153333;3.0;2024;1;0;0;0
18000.0;1;5;4745.6;1980;20.0;30.6;6;1;56.966667;23.153333;1.0;2024;1;0;0;0
22500.0;1;5;3139.5;1994;5.0;36.9;5;1;56.966667;23.153333;2.0;2024;1;0;0;0
32700.0;1;3;1376.1;1975;30.0;54.8;8;2;57.246667;22.588611;1.0;2023;0;1;0;0
5000.0;1;5;4009.9;1978;30.0;33.3;7;1;56.966667;23.153333;4.0;2024;1;0;0;0
13881.5;1;4;2225.5;1973;30.0;29.9;4;1;56.966667;23.153333;3.0;2024;1;0;0;0
15000.0;1;6;5468.9;1970;25.0;36.1;6;1;57.246667;22.588611;1.0;2024;0;0;1;0
24500.0;1;3;1948.5;1975;25.0;37.0;6;1;56.666389;22.493611;1.0;2024;0;0;1;0
25000.0;1;5;3555.4;1973;30.0;35.6;5;2;57.246667;22.588611;1.0;2024;0;0;1;0
22000.0;1;5;3032.1;1989;15.0;54.5;7;2;57.246667;22.588611;3.0;2024;0;0;1;0
15000.0;1;5;2828.9;1986;20.0;33.7;5;1;57.246667;22.588611;5.0;2024;0;0;1;0
15000.0;1;5;3632.2;1977;29.0;38.6;6;2;56.966667;23.153333;2.0;2024;0;0;1;0
33998.0;1;4;2508.2;1980;15.0;67.0;8;3;56.666389;22.493611;2.0;2024;0;0;1;0
24000.0;1;5;3434.8;1970;36.0;41.9;6;2;56.666389;22.493611;3.0;2024;0;0;1;0
10000.0;1;2;781.1;1950;45.0;42.8;5;2;56.68;22.568333;1.0;2024;0;0;1;0
29000.0;1;5;3434.8;1970;36.0;44.2;6;2;56.666389;22.493611;5.0;2024;0;0;1;0
45000.0;1;5;3555.4;1973;30.0;58.9;6;3;57.246667;22.588611;5.0;2024;0;0;1;0
30000.0;1;3;1140.9;1967;33.0;46.0;4;2;56.666389;22.493611;2.0;2024;0;0;1;0
14000.0;1;3;778.4;1968;25.0;22.7;4;1;56.666389;22.493611;1.0;2024;0;0;1;0
26000.0;1;5;4198.9;1990;15.0;56.2;7;2;57.246667;22.588611;5.0;2024;0;0;1;0
10000.0;1;5;2552.1;1970;30.0;48.8;7;2;56.966667;23.153333;4.0;2024;0;0;1;0
20000.0;2;2;534.9;1946;45.0;52.2;9;2;56.68;22.568333;2.0;2024;0;0;1;0
15500.0;1;6;5465.2;1970;17.0;43.7;5;1;57.246667;22.588611;4.0;2024;0;0;1;0
4747.0;1;6;5331.7;1981;27.0;43.9;5;1;57.246667;22.588611;5.0;2024;0;0;1;0
12881.5;2;2;832.9;1955;40.0;54.3;9;2;56.966667;23.153333;2.0;2024;0;0;1;0
36500.0;1;6;4565.8;1984;28.0;63.8;8;3;57.246667;22.588611;2.0;2024;0;0;1;0
4476.0;1;3;860.1;1967;20.0;25.8;4;1;57.246667;22.588611;3.0;2024;0;0;1;0
55000.0;1;4;1844.4;1992;26.0;77.3;10;3;57.246667;22.588611;1.0;2024;0;0;1;0
35000.0;1;6;2281.9;1989;28.0;68.6;8;3;57.246667;22.588611;2.0;2024;0;0;1;0
28000.0;1;5;3765.7;1977;30.0;46.5;6;2;57.246667;22.588611;4.0;2024;0;0;1;0
27629.94;1;5;2557.7;1974;25.0;48.4;7;2;56.966667;23.153333;3.0;2024;0;0;1;0
10000.0;1;6;5465.2;1970;17.0;43.8;5;1;57.246667;22.588611;5.0;2024;0;0;1;0
41000.0;1;5;5109.7;1978;30.0;55.6;7;2;56.966667;23.153333;4.0;2024;0;0;1;0
26000.0;1;5;2551.3;1969;30.0;37.6;7;2;56.966667;23.153333;3.0;2024;0;0;1;0
8315.0;1;5;3989.9;1975;30.0;52.2;6;2;57.246667;22.588611;5.0;2024;0;0;1;0
32000.0;1;5;4711.7;1980;20.0;52.5;7;2;57.246667;22.588611;3.0;2024;0;0;1;0
6500.0;1;5;3957.5;1981;29.0;54.7;7;2;56.966667;23.153333;3.0;2024;0;0;1;0
27000.0;1;5;2518.8;1970;30.0;34.7;6;2;56.966667;23.153333;1.0;2024;0;0;1;0
30000.0;1;4;2006.4;1993;0.0;66.5;11;3;56.666389;22.493611;3.0;2024;0;0;1;0
36000.0;2;2;845.9;1955;45.0;65.2;5;3;56.966667;23.153333;2.0;2024;0;0;1;0
20000.0;3;2;1005.4;1956;45.0;45.6;7;2;56.68;22.568333;1.0;2024;0;0;1;0
27700.0;1;5;2595.1;1970;27.0;35.7;6;2;57.246667;22.588611;5.0;2024;0;0;1;0
50000.0;2;2;253.9;1870;60.0;65.7;6;3;56.968611;21.971667;1.0;2024;0;0;1;0
2000.0;1;5;3620.6;1973;30.0;31.6;5;1;56.966667;23.153333;3.0;2024;0;1;0;0
13600.0;2;3;1173.3;1972;20.0;47.6;8;2;56.666389;22.493611;3.0;2024;0;0;1;0
15250.0;1;5;3501.4;1975;10.0;28.6;5;1;56.966667;23.153333;4.0;2024;0;1;0;0
29000.0;1;6;5331.7;1981;27.0;79.4;9;3;57.246667;22.588611;6.0;2024;0;1;0;0
15200.0;1;5;2551.3;1969;30.0;37.6;7;2;56.966667;23.153333;5.0;2024;0;1;0;0
10000.0;1;5;2988.3;1989;10.0;36.7;6;1;56.666389;22.493611;2.0;2024;0;1;0;0
5000.0;1;3;778.4;1968;25.0;26.1;4;1;56.666389;22.493611;1.0;2024;0;1;0;0
15000.0;1;5;2552.1;1970;30.0;49.0;9;2;56.966667;23.153333;5.0;2024;0;1;0;0
16025.0;1;5;3501.4;1975;10.0;28.3;5;1;56.966667;23.153333;4.0;2024;0;1;0;0
22000.0;4;2;835.6;1955;45.0;67.8;9;3;56.966667;23.153333;1.0;2024;0;1;0;0
10000.0;1;3;778.4;1968;25.0;26.2;4;1;56.666389;22.493611;1.0;2024;0;1;0;0
