Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
7000.0;1;2;539.6;1953;45;49.3;10;2;56.68;22.568333;2.0;2020;0;0;1;0
11000.0;1;3;714.5;1960;30;40.0;7;2;56.666389;22.493611;1.0;2020;0;0;1;0
25500.0;1;5;3814.4;1979;25;54.9;6;2;57.246667;22.588611;1.0;2020;0;0;1;0
47000.0;1;5;2215.3;2008;0;122.7;13;4;56.966667;23.153333;5.0;2020;1;0;0;0
19000.0;1;5;2557.7;1974;25;48.5;7;2;56.966667;23.153333;3.0;2020;0;0;1;0
22000.0;1;5;2600.0;1969;30;44.0;6;2;56.666389;22.493611;5.0;2020;0;0;1;0
14000.0;1;5;2557.7;1974;25;49.4;7;2;56.966667;23.153333;2.0;2020;0;0;0;1
48000.0;1;5;3986.3;1987;26;62.0;7;3;56.966667;23.153333;1.0;2020;0;0;1;0
3000.0;1;5;3434.9;1970;25;41.0;6;2;56.666389;22.493611;5.0;2020;0;0;1;0
7256.0;1;2;781.1;1950;45;42.8;6;2;56.68;22.568333;2.0;2015;0;0;0;1
28000.0;1;4;1847.4;1992;25;67.9;5;3;57.246667;22.588611;1.0;2020;0;0;1;0
17500.0;1;4;2532.5;1989;26;49.2;7;2;56.535;21.166111;4.0;2020;0;0;1;0
12750.0;1;3;1345.8;1974;25;35.6;4;1;56.889167;21.176944;2.0;2020;0;0;1;0
7250.0;1;5;3501.4;1975;10;54.9;7;2;56.966667;23.153333;4.0;2020;0;0;1;0
40000.0;1;4;2506.0;1980;16;67.0;8;3;56.666389;22.493611;4.0;2020;0;0;1;0
6000.0;1;4;2566.0;1974;15;51.1;8;2;56.966667;23.153333;2.0;2020;0;0;1;0
27000.0;1;5;5110.5;1978;20;55.6;9;2;56.966667;23.153333;3.0;2020;0;0;1;0
