Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums
5100.0;1;2;549.4;546.0;2064.0;1900;60.0;1;1;47.8;47.8;3;2;57.076944;24.323611
83000.0;1;9;317.1;2641.2;8334.0;1980;29.0;5;5;64.3;61.9;10;3;56.787222;23.941944
150000.0;1;4;1991.9;6315.2;23819.0;2007;12.0;3;3;95.1;90.8;7;4;56.900833;24.047778
2888.0;1;2;549.4;546.0;2064.0;1900;60.0;2;2;30.6;30.6;1;1;57.076944;24.323611
56800.0;1;5;1002.6;3695.2;10349.0;1986;28.0;3;3;45.6;45.6;6;2;57.155;24.857778
15000.0;1;5;506.1;1975.8;7042.0;1986;15.0;4;4;85.9;80.5;11;4;56.723056;24.805833
10000.0;1;2;324.4;677.4;2518.0;1930;21.0;2;2;23.6;23.6;3;1;56.744444;24.721389
23000.0;1;5;714.3;3695.8;11093.0;1972;30.0;5;5;39.9;37.1;6;2;57.0925;24.546389
45500.0;1;6;432.8;2212.4;7098.0;1985;15.0;1;1;56.4;53.1;7;2;56.787222;23.941944
33500.0;1;5;453.8;1863.2;6093.0;1991;26.0;4;4;33.3;33.3;5;1;56.858611;24.349722
2739.0;1;2;549.4;546.0;2064.0;1900;60.0;2;2;27.9;27.9;1;1;57.076944;24.323611
28500.0;1;5;912.6;3532.2;13896.0;1976;30.0;4;4;46.2;46.2;6;2;56.723056;24.805833
155000.0;1;4;2000.2;6247.3;24554.0;2007;14.0;4;4;88.5;85.2;9;4;56.900833;24.047778
123000.0;1;4;2000.2;6247.3;24554.0;2007;14.0;4;4;79.6;76.3;8;3;56.900833;24.047778
107000.0;2;4;2771.0;8428.2;29618.0;2007;13.0;4;4;69.1;64.5;6;2;56.900833;24.047778
42000.0;1;3;428.7;1334.7;4568.0;1962;30.0;2;2;44.2;44.2;5;2;57.0925;24.546389
