Darījuma datums;Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Platums;Garums
15.12.2020;46000.0;75.49;1;5;712.8;3403.3;11484.0;1972;30;4;4;61.1;60.2;8;3;56.916025;24.1883925
16.12.2020;72000.0;127.72;1;12;460.4;4524.9;16291.0;1975;30;1;1;80.6;65.8;10;3;56.992618;24.1928871
10.12.2020;143400.0;63.32;1;4;1166.8;4522.2;14873.0;2020;0;4;4;71.7;66.8;6;3;56.9577892;24.0211856
14.12.2020;88340.0;19.47;5;6;586.5;3035.7;13653.0;1900;31;3;3;63.1;63.1;8;3;56.9543707;24.1240162
17.12.2020;53500.0;62.8;1;9;966.5;7394.5;24295.0;1971;30;5;5;59.2;57.3;9;3;56.8997483;24.2056328
16.12.2020;129000.0;86.35;1;6;919.7;5125.5;18707.0;2020;0;1;1;70.6;64.8;7;3;56.9729466;24.1075115
17.12.2020;50000.0;79.27;1;5;1389.0;6701.2;20803.0;1969;35;4;4;69.9;67.3;9;3;56.9717675;24.0685061
18.12.2020;74000.0;67.23;1;5;888.1;4214.6;13990.0;2020;0;4;4;48.3;44.6;4;2;56.9683357;24.1580899
16.12.2020;97950.0;18.74;5;6;844.0;4602.1;20584.0;1912;60;5;5;65.3;65.3;4;3;56.9561049;24.1194572
18.12.2020;99000.0;60.91;1;6;919.7;5125.5;18707.0;2020;0;6;6;49.8;44.0;4;2;56.9729466;24.1075115
18.12.2020;46300.0;104.87;1;5;682.4;3154.9;9578.0;1973;20;2;2;66.1;64.7;10;3;56.9587034;24.0237157
17.12.2020;97000.0;67.88;1;6;919.7;5125.5;18707.0;2020;0;3;3;55.5;49.5;4;2;56.9729466;24.1075115
15.12.2020;117500.0;29.61;5;7;585.5;2608.6;11438.0;1900;29;6;7;54.1;54.1;5;3;56.9394669;24.1236074
18.12.2020;36000.0;11.21;2;5;625.5;2641.0;13114.0;1870;34;1;1;68.0;68.0;7;4;56.9487769;24.1185381
22.12.2020;80000.0;60.34;1;9;777.4;6284.1;20991.0;1982;30;4;4;77.7;71.2;10;3;56.9534554;24.1729158
14.12.2020;85500.0;42.04;1;4;1166.8;4522.2;14873.0;2020;0;4;4;47.6;42.7;4;2;56.9577892;24.0211856
16.12.2020;44000.0;50.85;1;5;1105.6;5416.3;16725.0;1970;30;2;2;47.4;44.7;7;2;56.9029504;24.1988499
16.12.2020;14000.0;123.08;2;3;428.0;996.9;3679.0;1962;40;1;1;42.1;42.1;5;2;56.8957595;24.2256395
10.12.2020;34695.0;12.13;2;5;669.4;2699.4;11418.0;1900;29;5;5;21.7;21.7;2;1;56.9503553;24.1268594
23.12.2020;55000.0;72.57;1;9;1960.9;15605.3;52204.0;1984;15;8;8;76.0;72.5;13;3;56.9469654;24.1981081
21.12.2020;5000.0;114.2;1;2;253.0;403.6;1433.0;1900;60;2;2;27.9;27.9;2;1;56.9625913;24.3048876
22.12.2020;152000.0;107.26;1;6;919.7;5125.5;18707.0;2020;0;2;2;87.7;81.9;8;4;56.9729466;24.1075115
23.12.2020;39000.0;37.87;1;5;558.0;2541.9;8688.0;1972;30;4;4;49.4;46.4;7;2;57.0307331;24.0535367
28.12.2020;59900.0;15.18;1;6;507.8;2709.0;10613.0;1906;30;1;1;39.4;39.4;3;2;56.9755372;24.1443185
11.12.2020;5000.0;314.72;7;2;420.4;620.0;2640.0;1830;55;1;1;38.3;38.3;3;2;56.9858512;24.0300019
23.12.2020;140500.0;90.26;1;6;919.7;5125.5;18707.0;2020;0;2;2;73.8;68.0;7;3;56.9729466;24.1075115
07.12.2020;96600.0;39.66;2;7;1037.8;6820.0;22700.0;2020;0;4;4;54.3;49.2;4;2;56.9611304;24.1928805
15.12.2020;81000.0;20.77;1;6;669.6;3065.6;14104.0;1912;31;3;3;53.5;53.5;4;2;56.9620966;24.1222682
16.12.2020;24000.0;46.43;1;5;646.0;3443.1;10123.0;1966;30;1;1;32.1;32.1;5;1;56.9771153;24.2510179
17.12.2020;166000.0;108.73;1;6;919.7;5125.5;18707.0;2020;0;3;3;88.9;83.1;8;4;56.9729466;24.1075115
17.12.2020;84000.0;59.72;1;5;888.1;4214.6;13990.0;2020;0;3;3;42.9;39.2;4;2;56.9683357;24.1580899
09.12.2020;32600.0;50.32;1;5;875.7;4206.4;14087.0;1974;20;3;3;39.2;35.5;7;1;56.9644695;24.196068
23.11.2020;129368.85;74.14;1;4;570.3;1714.8;5917.0;2019;0;1;1;67.1;57.1;4;2;56.9409497;24.0621428
04.11.2020;67000.0;19.1;5;7;585.5;2608.6;11438.0;1900;29;3;3;34.9;34.9;3;2;56.9394669;24.1236074
17.12.2020;159000.0;94.54;1;6;919.7;5125.5;18707.0;2020;0;5;5;77.3;71.5;7;3;56.9729466;24.1075115
18.12.2020;92000.0;63.6;1;6;919.7;5125.5;18707.0;2020;0;3;3;52.0;46.2;4;2;56.9729466;24.1075115
22.12.2020;53000.0;38.34;1;10;1168.5;9619.6;28965.0;1989;10;1;1;51.1;48.7;6;2;56.8999688;24.0948248
22.12.2020;95884.0;94.0;2;4;900.3;2091.4;6885.0;2018;0;2;2;60.7;51.1;4;2;56.9416708;24.0223054
17.12.2020;55000.0;26.51;3;6;271.6;1310.3;5729.0;1928;50;4;4;46.2;46.2;3;2;56.9643795;24.13663
17.12.2020;40000.0;32.57;2;5;417.0;1744.4;7982.0;1895;60;4;4;57.4;57.4;7;2;56.9552253;24.1309598
17.12.2020;114300.0;51.05;2;7;1037.8;6820.0;22700.0;2020;0;3;3;69.9;64.9;6;3;56.9611304;24.1928805
30.10.2020;100000.0;25.46;1;6;323.4;1493.6;6823.0;1912;28;2;2;48.0;48.0;3;2;56.9508314;24.1278065
03.12.2020;60171.0;19.44;5;6;1238.3;6459.8;29762.0;1900;31;6;6;63.0;63.0;7;2;56.9542182;24.1233191
08.12.2020;129500.0;30.66;1;7;2726.2;12297.2;45699.0;2013;5;5;5;75.7;72.8;7;3;56.9889142;24.1698348
22.12.2020;96000.0;35.1;1;6;275.0;1375.7;5098.0;1939;30;3;3;53.0;53.0;5;2;56.9674529;24.1441866
16.12.2020;80000.0;124.71;7;2;1618.7;2540.1;11644.0;1962;26;2;2;40.6;40.6;4;2;56.9448287;24.0380673
23.12.2020;26000.0;65.23;1;5;3232.2;15320.3;50751.0;1978;15;3;3;51.2;47.5;7;2;57.0287424;24.0343892
22.12.2020;126000.0;52.74;1;6;1344.6;8229.6;31984.0;1892;49;6;6;93.7;93.7;8;3;56.9616788;24.1325718
22.12.2020;56000.0;57.72;1;9;362.2;3126.3;9840.0;1982;20;7;7;76.9;73.0;14;3;56.9530406;24.1738777
18.12.2020;24000.0;138.41;2;3;231.9;444.5;2024.0;1936;60;2;2;33.2;33.2;2;1;56.9699667;24.045291
11.12.2020;13000.0;97.66;3;2;250.9;340.0;1333.0;1920;60;2;2;30.6;30.6;3;2;56.9260737;24.0796444
18.12.2020;5000.0;77.44;1;2;277.0;456.5;1904.0;1900;65;2;2;23.2;23.2;2;1;56.9335713;24.0643956
18.12.2020;86500.0;61.2;1;11;1566.4;13615.1;46308.0;1991;26;5;5;72.0;66.4;10;3;56.9018053;24.0861318
28.12.2020;6500.0;125.87;1;2;400.6;752.3;2712.0;1960;30;1;1;61.3;61.3;6;3;56.9112632;24.1069566
28.12.2020;8000.0;23.59;7;2;471.0;1170.4;4427.0;1915;60;1;1;24.3;24.3;3;1;56.9929136;24.1275673
