Darījuma datums;Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Platums;Garums
14.12.2023;100350.0;49.15;3;4;335.2;902.9;3614.0;1910;18.0;4;4;44.6;44.6;3;2;56.9693587;24.1022666
17.12.2023;136248.5;64.37;1;7;715.7;4195.8;13556.0;2023;0.0;1;1;68.1;60.6;5;3;56.9527742;24.2129029
20.12.2023;28000.0;55.07;1;5;714.8;3416.4;11508.0;1966;30.0;5;5;48.8;45.7;8;2;56.9351603;24.1538318
20.12.2023;92000.0;37.09;1;5;704.9;2260.2;9229.0;1888;34.0;4;5;57.6;57.6;6;2;56.9488374;24.134049
27.12.2023;26000.0;60.94;1;5;673.2;2808.1;9815.0;1961;31.0;4;4;42.3;42.3;5;2;56.9686983;24.0994128
20.12.2023;100000.0;37.9;1;7;946.5;4962.5;16235.0;2013;1.0;2;2;58.6;58.6;3;2;56.9710512;24.1005697
01.12.2023;42000.0;39.68;1;5;781.9;3518.0;12194.0;1963;20.0;3;3;40.7;40.7;5;2;56.9083933;24.0973777
22.12.2023;310000.0;80.27;3;6;1297.1;5764.6;27848.0;1901;31.0;5;5;218.8;218.8;16;6;56.9537242;24.1239185
11.12.2023;144500.0;24.01;1;7;1876.5;10585.7;36841.0;2023;0.0;1;1;51.5;44.0;4;2;56.9667944;24.1034056
27.11.2023;135000.0;50.01;4;6;365.9;1870.0;7945.0;1916;59.0;4;4;79.7;79.7;5;3;56.9418398;24.0631242
13.12.2023;87760.0;32.77;1;12;797.1;5823.7;21288.0;2022;0.0;3;3;39.1;34.6;4;2;56.9939864;24.1647615
30.11.2023;15400.0;379.67;1;2;114.5;149.7;504.0;1930;60.0;2;2;59.7;59.7;6;2;56.9349554;24.0541716
05.12.2023;21000.0;10.13;3;6;483.6;2561.7;10180.0;1885;60.0;6;6;30.7;30.7;3;1;56.9669655;24.1448235
05.12.2023;40000.0;27.14;4;4;414.7;1485.3;7966.0;1900;60.0;3;3;65.5;65.5;5;2;56.9516649;24.1271924
18.12.2023;30500.0;59.87;1;7;1176.0;6650.1;22074.0;1987;10.0;3;3;45.9;39.4;6;1;56.9484793;24.0132163
22.12.2023;38000.0;55.52;1;10;465.5;3453.0;12044.0;1984;10.0;1;1;40.1;35.9;6;1;56.9411577;24.1964402
27.12.2023;6000.0;29.91;2;3;358.4;836.7;3404.0;1947;60.0;1;1;31.2;31.2;4;1;56.970932;24.1782301
