Darījuma datums;Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Platums;Garums
16.12.2019;98500.0;84.88;1;5;1438.5;5337.7;17524.0;2019;0;5;5;55.4;51.7;6;3;56.9556183;24.1854622
23.12.2019;4000.0;135.54;2;2;219.8;312.8;1170.0;1860;60;2;2;24.9;24.9;1;1;57.0059332;24.1220009
20.12.2019;31000.0;11.57;1;9;775.6;5895.4;19143.0;1988;20;5;5;36.6;33.2;7;1;57.0392648;24.1021226
23.12.2019;7000.0;59.3;3;2;227.7;416.0;1677.0;1911;60;1;1;25.0;25.0;3;1;56.9874108;24.2219236
23.12.2019;10000.0;102.09;1;2;146.5;198.4;661.0;1930;60;1;1;26.2;26.2;4;1;56.9313363;24.0566099
20.12.2019;29200.0;41.53;1;5;881.6;4450.9;14003.0;1982;20;5;5;43.2;35.7;6;1;56.9496256;24.2024077
23.12.2019;43900.0;65.55;1;5;768.7;3607.3;12359.0;1963;40;5;5;40.9;40.9;5;2;56.9785091;24.1718626
27.12.2019;98212.5;26.11;3;5;284.7;1153.6;4440.0;1900;30;4;4;48.5;48.5;3;2;56.952689;24.1298802
17.09.2019;5150.0;85.11;2;2;393.4;654.3;2341.0;1940;60;2;2;24.5;24.5;2;1;56.9295543;24.1693682
28.12.2019;28000.0;40.73;1;5;869.3;4158.4;13556.0;1982;15;1;1;42.6;35.2;6;1;56.9495175;24.2030907
27.12.2019;30000.0;36.56;3;2;211.6;306.9;1061.0;1860;70;2;2;40.3;40.3;4;1;56.9564258;24.1220448
30.12.2019;31300.0;39.59;1;5;640.0;3372.7;10124.0;1961;35;1;1;32.2;32.2;4;1;56.9449141;24.0654569
20.12.2019;60000.0;37.17;2;4;495.2;1667.0;6788.0;1929;50;3;3;49.0;49.0;6;2;56.9474742;24.060385
05.12.2019;25000.0;19.69;3;4;296.5;1065.9;4756.0;1898;60;1;1;23.7;23.7;3;1;56.9558446;24.1532916
19.12.2019;73000.0;23.73;1;5;465.5;2058.2;8904.0;1910;45;4;4;49.9;49.9;4;2;56.9586086;24.1456071
14.11.2019;16000.0;23.96;3;4;148.9;395.7;1634.0;1905;55;3;3;24.6;24.6;2;1;56.938783;24.1454443
25.11.2019;66500.0;32.46;1;9;1624.5;8436.9;28225.0;2007;0;5;5;59.5;56.7;5;2;56.9409936;24.2201132
10.12.2019;40000.0;61.32;1;5;1017.5;4943.1;15225.0;1967;25;4;4;55.3;52.9;9;3;56.9517322;24.0500287
02.12.2019;8100.0;62.8;1;3;444.0;1372.4;5655.0;1910;50;-1;-1;53.0;53.0;5;2;56.9938717;24.129476
16.12.2019;173000.0;32.15;2;7;479.4;2550.4;11459.0;1910;55;4;4;96.7;96.7;7;3;56.9588057;24.1168614
19.11.2019;4105.0;101.38;2;2;188.9;347.6;1265.0;1908;50;1;1;34.1;34.1;3;2;56.9861967;24.17038
13.12.2019;85000.0;47.12;4;7;556.8;3282.8;13035.0;1910;50;1;1;72.4;72.4;9;3;56.958418;24.1127962
18.12.2019;16000.0;43.04;3;2;292.9;801.5;2839.0;1880;65;1;1;16.1;16.1;2;1;56.9748017;24.1407028
13.12.2019;130000.0;46.91;1;9;441.9;3030.0;11220.0;2019;0;9;9;66.5;62.5;6;3;56.9692355;24.2377072
03.12.2019;58000.0;24.66;1;6;323.4;1493.6;6823.0;1912;28;3;3;46.5;46.5;3;2;56.9508314;24.1278065
20.12.2019;60000.0;63.46;1;10;865.4;6760.6;22667.0;1975;20;5;5;50.0;48.3;7;2;56.9642181;24.0019846
18.12.2019;32005.0;29.39;1;5;1548.0;6246.9;28091.0;1904;35;5;5;82.1;82.1;3;1;56.9440245;24.0794221
13.12.2019;150000.0;55.22;5;7;430.0;2808.8;3440.0;2006;0;4;4;74.5;66.2;7;2;56.9655037;24.1009237
23.12.2019;63000.0;36.25;1;9;640.5;4957.4;16945.0;1982;10;7;7;50.4;48.1;5;2;56.9405373;24.2030058
20.12.2019;77000.0;21.19;1;9;2594.2;11940.4;44707.0;2017;0;8;8;41.4;38.3;4;2;56.9886702;24.1689025
16.12.2019;147240.0;130.38;1;5;1438.5;5337.7;17524.0;2019;0;3;3;85.1;81.4;10;4;56.9556183;24.1854622
23.12.2019;38500.0;41.8;1;16;517.3;7071.1;22949.0;1991;5;15;15;44.5;37.2;5;1;56.9414233;24.2037897
23.12.2019;77500.0;72.01;1;5;1438.5;5337.7;17524.0;2019;0;3;3;47.0;43.3;4;2;56.9556183;24.1854622
20.12.2019;120700.0;100.66;1;5;1438.5;5337.7;17524.0;2019;0;4;4;65.7;62.0;7;3;56.9556183;24.1854622
18.12.2019;96309.0;49.62;1;5;1548.0;6246.9;28091.0;1904;35;3;3;138.6;138.6;8;5;56.9440245;24.0794221
18.12.2019;55847.0;26.35;1;5;1548.0;6246.9;28091.0;1904;35;2;2;73.6;73.6;6;3;56.9440245;24.0794221
23.12.2019;197000.0;136.76;1;4;809.6;2973.9;9959.0;1974;10;3;4;159.9;134.3;8;2;56.9753219;24.1842709
27.12.2019;32000.0;59.02;2;5;536.9;2536.4;8490.0;1971;25;1;1;46.0;46.0;4;2;57.009224;24.1251458
14.08.2018;26000.0;702.32;8;2;211.9;248.0;1085.0;1870;55;1;1;92.7;92.7;8;2;56.9153539;24.1320306
27.12.2019;45000.0;99.36;1;5;640.2;3404.1;9947.0;1962;30;1;1;58.0;58.0;7;3;56.9860934;24.2417653
27.12.2019;35000.0;89.09;1;5;455.7;2234.6;6842.0;1979;15;2;2;66.7;65.4;10;3;57.0337053;24.056596
27.12.2019;62000.0;38.29;1;10;1133.5;8609.8;27511.0;1989;10;1;1;70.0;63.0;9;3;56.9036301;24.0946831
20.12.2019;8300.0;62.24;2;2;286.8;476.8;1728.0;1912;65;1;1;26.9;26.9;3;1;56.9172123;24.086832
16.12.2019;9500.0;65.94;2;2;310.7;493.1;1930.0;1900;60;1;1;28.5;28.5;2;1;56.917344;24.0874689
17.12.2019;99300.0;54.07;1;5;1608.9;6955.6;23495.0;2019;0;1;1;65.6;60.6;6;3;56.9556201;24.0534049
06.12.2019;7500.0;22.03;7;3;365.9;1127.0;4046.0;1915;60;3;3;22.7;22.7;2;1;56.9929495;24.1278353
20.12.2019;11000.0;25.45;1;5;817.4;3575.6;15709.0;1913;60;2;2;21.1;21.1;3;1;56.9942483;24.1282463
20.12.2019;9000.0;23.28;1;5;817.4;3575.6;15709.0;1913;60;4;4;19.3;19.3;2;1;56.9942483;24.1282463
20.12.2019;64000.0;99.59;1;6;763.1;4141.3;14890.0;1963;30;6;6;74.7;72.9;6;2;56.9878099;24.2172112
20.12.2019;90500.0;76.61;1;5;1438.5;5337.7;17524.0;2019;0;3;3;50.0;46.3;4;2;56.9556183;24.1854622
13.12.2019;68500.0;48.08;1;11;771.6;6860.5;22735.0;1991;5;9;9;76.8;70.4;13;3;56.9014011;24.0882291
16.12.2019;78400.0;63.2;1;4;632.3;2336.1;10719.0;1897;55;4;4;56.5;56.5;6;2;56.964351;24.1392434
23.12.2019;16000.0;23.51;1;4;494.4;1847.2;8355.0;1920;50;3;3;36.8;36.8;6;2;56.9393727;24.1268232
05.12.2019;150000.0;37.76;3;24;1525.3;17263.9;64621.0;2006;0;16;16;95.3;95.3;7;2;56.9594336;24.0142317
25.10.2019;11800.0;109.15;4;2;135.7;215.6;818.0;1913;65;2;2;22.0;22.0;4;1;56.9209426;24.0825142
10.12.2019;22000.0;55.08;1;5;451.5;2195.1;6776.0;1974;25;5;5;49.3;46.9;7;2;57.0323385;24.0539082
23.12.2019;34000.0;33.02;1;4;494.4;1847.2;8355.0;1920;50;3;3;52.7;52.7;6;2;56.9393727;24.1268232
22.10.2019;36700.0;79.91;1;3;270.3;739.9;2844.0;1926;50;1;1;47.3;47.3;5;2;56.9798962;24.1917818
20.12.2019;50000.0;79.15;3;9;1314.8;9860.0;33314.0;1973;20;6;6;59.6;57.6;9;3;56.9727233;24.1324244
16.12.2019;111000.0;98.84;1;9;444.0;3033.0;11255.0;2019;0;4;4;64.7;60.7;6;3;56.9694342;24.2369351
19.12.2019;138665.0;130.23;1;5;1438.5;5337.7;17524.0;2019;0;4;4;85.0;81.3;10;4;56.9556183;24.1854622
16.12.2019;75000.0;21.14;1;9;2594.2;11940.4;44707.0;2017;0;4;4;41.3;38.2;4;2;56.9886702;24.1689025
19.12.2019;101711.6;42.9;1;9;429.8;3917.5;13183.0;2019;0;6;6;60.2;54.0;6;2;56.9519907;24.0048332
20.12.2019;124000.0;17.44;1;8;3326.6;15614.8;46797.0;2018;0;2;2;55.8;55.8;3;2;56.9657079;24.1052027
13.12.2019;117500.0;99.44;1;5;1438.5;5337.7;17524.0;2019;0;2;2;64.9;61.2;7;3;56.9556183;24.1854622
18.12.2019;111777.0;62.4;1;5;1548.0;6246.9;28091.0;1904;35;3;3;170.7;170.7;14;5;56.9440245;24.0794221
06.12.2019;44000.0;13.62;1;7;512.1;3052.6;13351.0;1929;45;5;5;132.3;125.8;14;6;56.951605;24.1264936
21.10.2019;26000.0;40.81;1;5;1125.2;5115.3;17691.0;1967;25;1;1;45.2;45.2;6;2;56.979111;24.1699016
27.12.2019;20000.0;44.36;1;5;1087.4;5317.8;16516.0;1970;35;2;2;46.6;43.9;7;2;56.9001271;24.2041708
23.12.2019;46900.0;92.32;1;5;634.1;3188.7;9505.0;1971;30;3;3;68.1;65.5;9;3;56.969946;24.052034
20.12.2019;44000.0;45.18;1;5;793.6;3109.8;11189.0;1969;30;5;5;42.7;41.2;6;2;56.9868844;24.2162039
30.12.2019;16600.0;99.69;6;2;199.4;320.2;1256.0;1885;60;2;2;24.5;24.5;2;1;57.0012043;24.1198717
08.12.2019;70000.0;20.22;3;6;716.0;3524.1;15737.0;1914;35;6;6;49.1;49.1;3;2;56.9647163;24.1414536
30.12.2019;32000.0;36.12;1;9;465.4;3672.0;12299.0;1989;5;4;4;44.9;36.2;5;1;56.9010982;24.0954095
17.12.2019;94600.0;46.08;1;5;1608.9;6955.6;23495.0;2019;0;2;2;55.9;51.4;4;2;56.9556201;24.0534049
27.12.2019;40000.0;49.27;6;5;331.7;1425.5;5764.0;1910;55;3;3;40.6;40.6;4;2;56.9339579;24.0767791
30.12.2019;54500.0;50.45;1;4;368.5;1219.2;4970.0;2009;0;2;2;38.0;38.0;3;2;56.9398803;24.14181
27.12.2019;50000.0;54.01;1;14;473.3;4803.8;17381.0;1974;25;9;9;73.7;66.5;10;3;56.986114;24.2269114
30.12.2019;35000.0;55.39;1;10;642.3;5179.9;17000.0;1976;20;8;8;50.6;47.4;7;2;57.0167349;24.1325222
30.12.2019;10000.0;26.83;1;2;491.6;1136.3;4709.0;1900;60;2;2;21.8;21.8;2;1;56.9933915;24.1276192
18.12.2019;96500.0;77.07;1;5;1438.5;5337.7;17524.0;2019;0;4;4;50.3;46.6;6;3;56.9556183;24.1854622
20.12.2019;90500.0;76.45;1;5;1438.5;5337.7;17524.0;2019;0;2;2;49.9;46.2;4;2;56.9556183;24.1854622
20.12.2019;98000.0;62.98;1;5;928.5;4190.2;14274.0;2019;0;4;4;52.9;47.5;4;2;56.9555114;24.1825157
23.12.2019;92000.0;101.73;1;5;1438.5;5337.7;17524.0;2019;0;4;4;66.4;62.7;7;3;56.9556183;24.1854622
30.09.2019;5000.0;98.94;7;2;215.8;346.0;1249.0;1915;55;2;2;19.7;19.7;2;1;56.9214414;24.0933473
30.09.2019;5000.0;56.46;6;2;261.9;518.4;2047.0;1900;65;2;2;19.9;19.9;2;1;56.9923881;24.1274745
