Darījuma datums;Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Platums;Garums
29.11.2022;185000.0;28.5;1;7;3368.0;19300.7;63619.0;2022;0;3;3;68.3;64.3;6;3;56.9661878;24.104192
14.12.2022;130000.0;43.31;2;4;1252.6;5023.0;21938.0;1956;0;4;4;63.2;63.2;3;2;56.9368309;24.1022444
12.12.2022;16500.0;69.21;2;5;1312.7;5659.5;19989.0;1970;10;3;3;48.5;44.6;7;2;56.9331084;24.1721217
15.12.2022;151050.0;88.99;1;5;749.4;3030.6;10763.0;2022;0;3;3;70.2;64.8;6;3;56.9653151;24.1715826
16.12.2022;215000.0;113.76;1;5;665.1;3122.1;11200.0;2022;0;4;4;81.6;78.0;8;3;56.9770674;24.1686779
20.12.2022;10000.0;16.71;3;4;337.6;1186.5;5084.0;1900;55;2;2;30.9;30.9;2;1;56.9556175;24.1533473
14.12.2022;114800.0;69.35;1;7;715.4;4196.0;13557.0;2022;0;6;6;64.6;60.4;5;3;56.9526444;24.2137827
28.11.2022;82500.0;59.95;3;5;523.0;2688.3;9532.0;2021;0;3;3;39.4;35.7;4;2;56.9605793;24.2398682
08.11.2022;93500.0;70.76;3;5;523.0;2688.3;9532.0;2021;0;2;2;46.5;42.8;5;2;56.9605793;24.2398682
15.11.2022;150000.0;90.69;3;5;523.2;2688.8;9533.0;2021;0;3;3;59.6;55.9;6;3;56.9611264;24.2400964
15.11.2022;94500.0;70.3;3;5;523.3;2688.7;9535.0;2021;0;2;2;46.2;42.5;5;2;56.961015;24.2394154
15.11.2022;92600.0;70.76;3;5;523.3;2688.7;9535.0;2021;0;3;3;46.5;42.8;5;2;56.961015;24.2394154
22.11.2022;117300.0;87.65;3;5;523.3;2688.7;9535.0;2021;0;2;2;57.6;53.9;6;3;56.961015;24.2394154
