Darījuma datums;Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves apbūves laukums, m2;Būves kopplatība, m2;Būves būvtilpums, m3;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas zemākais stāvs;Telpu grupas augstākais stāvs;Telpu grupas platība, m2;Dzīvokļa kopplatība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Platums;Garums
16.12.2021;44325.0;30.49;3;5;366.6;1357.4;5822.0;1920;27;5;5;29.5;29.5;3;1;56.9376818;24.1460054
23.02.2010;21000.0;24.81;3;5;802.0;3794.0;15559.0;1894;38;5;5;53.1;53.1;6;2;56.9487111;24.1297617
17.12.2021;57500.0;55.51;1;5;864.8;4588.9;13378.0;1962;30;4;4;45.9;45.9;6;2;56.9862821;24.2388099
16.12.2021;84000.0;48.06;2;5;1539.9;7678.3;25736.0;2021;0;1;1;48.5;43.5;4;2;56.961656;24.1920076
20.12.2021;107000.0;97.59;1;9;889.4;5847.2;20384.0;2021;0;3;3;67.2;63.6;6;2;56.9309925;24.1611858
17.12.2021;83000.0;33.39;1;6;3472.4;12470.9;43571.0;2008;0;4;4;53.2;53.2;4;2;57.0224128;24.1369495
20.12.2021;84000.0;51.59;1;6;921.3;5165.4;18725.0;2021;0;1;1;52.5;46.6;4;2;56.9726827;24.1084474
08.12.2021;70000.0;12.82;1;6;507.8;2706.5;10613.0;1906;30;1;1;33.1;33.1;3;2;56.9755372;24.1443185
22.12.2021;125500.0;23.2;1;5;705.4;2938.5;12679.0;1900;60;2;2;57.9;57.9;5;2;56.9601447;24.1230038
21.12.2021;80230.0;61.43;1;9;889.4;5847.2;20384.0;2021;0;7;7;42.3;38.8;4;2;56.9309925;24.1611858
22.12.2021;92000.0;59.4;1;9;889.4;5847.2;20384.0;2021;0;9;9;40.9;37.4;4;2;56.9309925;24.1611858
20.12.2021;79000.0;58.52;1;9;889.4;5847.2;20384.0;2021;0;7;7;40.3;36.7;4;2;56.9309925;24.1611858
20.12.2021;71000.0;26.35;1;9;647.9;4916.5;15763.0;1980;30;7;7;80.1;75.1;12;4;57.0334577;24.1033642
22.12.2021;74500.0;98.65;1;5;1230.2;5046.3;17041.0;1960;27;5;5;59.6;59.6;5;2;56.9742652;24.183879
22.12.2021;30000.0;189.25;1;2;155.7;263.1;925.0;1896;55;1;1;58.0;58.0;7;2;56.9581051;24.0541545
22.12.2021;39500.0;24.1;2;5;253.3;1074.3;4580.0;1956;27;2;2;24.7;24.7;2;1;56.9415901;24.1529028
17.12.2021;1100.0;59.98;1;5;717.8;3429.5;11095.0;1970;30;3;3;58.1;55.1;9;3;56.9383117;24.0425934
23.12.2021;145500.0;65.65;1;6;921.3;5165.4;18725.0;2021;0;6;6;66.8;60.9;7;3;56.9726827;24.1084474
21.12.2021;116000.0;65.31;2;5;1539.9;7678.3;25736.0;2021;0;2;2;65.9;60.9;6;3;56.961656;24.1920076
14.12.2021;40500.0;16.76;1;6;3472.4;12470.9;43571.0;2008;0;2;2;26.7;26.7;2;1;57.0224128;24.1369495
14.12.2021;36000.0;16.57;1;6;3472.4;12470.9;43571.0;2008;0;1;1;26.4;26.4;2;1;57.0224128;24.1369495
17.12.2021;110000.0;42.43;1;6;3472.4;12470.9;43571.0;2008;0;3;3;67.6;67.6;6;4;57.0224128;24.1369495
23.12.2021;17000.0;50.99;1;3;419.2;1180.7;4356.0;1960;27;3;3;29.4;29.4;4;1;56.9677862;24.1945249
27.12.2021;18000.0;29.46;2;4;506.7;1694.8;8339.0;1910;60;2;2;48.3;48.3;6;2;56.9445402;24.1412414
27.12.2021;6000.0;79.14;3;2;170.5;313.8;1340.0;1900;70;2;2;30.0;30.0;4;2;56.9411223;24.0789578
17.12.2021;75000.0;28.24;1;6;3472.4;12470.9;43571.0;2008;0;3;3;45.0;45.0;4;2;57.0224128;24.1369495
17.12.2021;79990.0;39.16;1;13;461.2;4573.4;15694.0;1982;30;7;7;51.4;43.6;8;2;57.0006917;24.168753
21.12.2021;29400.0;45.95;1;5;943.1;5005.6;14636.0;1966;35;3;3;33.1;32.2;5;1;56.9766565;24.250382
21.12.2021;110000.0;25.09;3;7;960.2;5136.6;23227.0;1900;25;6;6;88.1;88.1;10;3;56.9591381;24.1212551
30.11.2021;140000.0;21.08;1;7;1176.1;6510.8;29235.0;1913;19;2;2;74.2;74.2;3;2;56.9618785;24.099642
21.12.2021;94000.0;53.81;2;5;1539.9;7678.3;25736.0;2021;0;5;5;54.3;49.5;4;2;56.961656;24.1920076
22.12.2021;53900.0;45.89;1;9;889.4;5847.2;20384.0;2021;0;9;9;31.6;28.0;3;1;56.9309925;24.1611858
21.12.2021;120100.0;65.31;2;5;1539.9;7678.3;25736.0;2021;0;4;4;65.9;60.9;6;3;56.961656;24.1920076
22.12.2021;72140.0;50.16;1;5;1125.0;4778.7;16485.0;2019;0;1;1;49.6;39.8;3;1;56.9391082;24.2225346
29.10.2021;30400.0;222.37;2;2;220.6;335.8;1511.0;1957;40;1;1;60.4;60.4;7;3;56.9635774;24.1588986
20.12.2021;2000.0;29.93;3;2;228.8;349.3;1331.0;1910;60;1;1;21.1;21.1;2;1;56.9827747;24.1910125
21.12.2021;82000.0;49.53;1;6;921.3;5165.4;18725.0;2021;0;2;2;50.4;44.5;4;2;56.9726827;24.1084474
23.12.2021;56000.0;68.45;1;3;209.7;603.3;2325.0;1960;30;2;2;45.4;45.4;5;2;56.9727142;24.1800386
21.12.2021;124800.0;65.31;2;5;1539.9;7678.3;25736.0;2021;0;5;5;65.9;60.9;6;3;56.961656;24.1920076
16.12.2021;8000.0;217.13;4;2;226.0;356.8;1467.0;1911;65;2;2;37.8;37.8;4;2;57.032549;24.0440009
27.12.2021;16000.0;60.84;5;2;273.1;643.1;2451.0;1912;46;-1;-1;32.7;32.7;4;2;56.9366828;24.0732325
27.12.2021;52000.0;46.04;1;9;889.4;5847.2;20384.0;2021;0;7;7;31.7;28.1;3;1;56.9309925;24.1611858
23.12.2021;97000.0;49.82;1;6;921.3;5165.4;18725.0;2021;0;4;4;50.7;44.8;4;2;56.9726827;24.1084474
28.12.2021;122850.0;97.59;1;9;889.4;5847.2;20384.0;2021;0;9;9;67.2;63.6;6;2;56.9309925;24.1611858
15.12.2021;64000.0;26.45;1;4;1503.7;5571.9;23775.0;1911;48;1;1;44.1;44.1;3;2;56.9525243;24.1400411
28.10.2021;40100.0;41.55;1;9;1877.1;14705.0;47446.0;1981;30;1;1;50.8;49.6;8;2;56.9447811;24.1704902
28.12.2021;28000.0;9.0;2;6;491.0;2506.4;12247.0;1912;55;4;4;137.5;136.4;13;6;56.9532381;24.1245153
17.12.2021;68000.0;50.1;1;9;889.4;5847.2;20384.0;2021;0;8;8;34.5;30.9;4;2;56.9309925;24.1611858
15.12.2021;83000.0;35.79;1;7;3012.6;17222.8;63542.0;2007;0;2;2;54.4;45.8;5;1;56.8997222;24.0795353
13.12.2021;60000.0;64.62;1;5;942.8;4955.9;14685.0;1963;25;1;1;58.4;58.4;8;3;56.9826246;24.2476513
21.12.2021;184500.0;88.35;1;6;921.3;5165.4;18725.0;2021;0;6;6;89.9;84.0;8;4;56.9726827;24.1084474
16.12.2021;35700.0;14.06;1;6;3472.4;12470.9;43571.0;2008;0;5;5;22.4;22.4;2;1;57.0224128;24.1369495
16.12.2021;105000.0;42.61;1;6;3472.4;12470.9;43571.0;2008;0;2;2;67.9;67.9;5;3;57.0224128;24.1369495
20.12.2021;67500.0;28.24;1;6;3472.4;12470.9;43571.0;2008;0;1;1;45.0;45.0;4;2;57.0224128;24.1369495
21.12.2021;225000.0;36.83;3;6;221.8;1130.7;5654.0;1910;32;2;2;94.8;94.8;6;3;56.9523402;24.1237572
22.12.2021;121230.0;100.35;1;9;889.4;5847.2;20384.0;2021;0;8;8;69.1;65.7;6;2;56.9309925;24.1611858
21.12.2021;46000.0;44.39;1;5;1222.9;5944.9;20232.0;1966;25;3;3;49.3;46.1;7;2;56.9478497;24.0510439
08.12.2021;70000.0;143.9;1;3;303.1;702.1;2903.0;1951;30;1;1;60.7;60.7;9;3;56.9657184;24.0650136
22.12.2021;59700.0;76.47;1;5;1230.2;5046.3;17041.0;1960;27;5;5;46.2;46.2;4;2;56.9742652;24.183879
22.12.2021;68700.0;77.29;1;5;1230.2;5046.3;17041.0;1960;27;4;4;46.7;46.7;4;2;56.9742652;24.183879
23.12.2021;47300.0;168.18;1;2;303.4;460.1;1963.0;1950;30;1;1;57.9;57.9;8;3;57.0290799;24.0425272
21.12.2021;44000.0;16.76;1;6;3472.4;12470.9;43571.0;2008;0;5;5;26.7;26.7;2;1;57.0224128;24.1369495
21.12.2021;117000.0;42.55;1;6;3472.4;12470.9;43571.0;2008;0;4;4;67.8;67.8;5;3;57.0224128;24.1369495
10.12.2021;110000.0;42.36;1;6;3472.4;12470.9;43571.0;2008;0;4;4;67.5;67.5;6;4;57.0224128;24.1369495
22.12.2021;75000.0;37.84;2;7;493.6;2621.4;11365.0;1896;56;1;1;75.3;75.3;6;3;56.9515256;24.1326817
23.12.2021;71000.0;40.29;1;6;921.3;5165.4;18725.0;2021;0;3;3;41.0;35.1;3;1;56.9726827;24.1084474
27.02.2019;5000.0;46.66;3;4;192.5;623.4;2813.0;1900;50;3;3;53.6;53.6;7;3;56.9564258;24.1220448
21.12.2021;162000.0;88.44;1;6;921.3;5165.4;18725.0;2021;0;3;3;90.0;84.1;8;4;56.9726827;24.1084474
23.12.2021;36000.0;38.11;1;14;490.4;4798.7;16878.0;1981;20;9;9;34.8;34.8;4;1;56.9510592;24.0485348
22.12.2021;81000.0;61.28;1;9;889.4;5847.2;20384.0;2021;0;9;9;42.2;38.7;4;2;56.9309925;24.1611858
