Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
53000.0;1;9;15973.1;1978;20;68.1;13;4;1.0;2019;0;0;0;1;56.9656285;24.1816148
39000.0;2;5;10003.2;1983;20;45.7;6;2;5.0;2019;0;0;0;1;56.9322436;24.1820903
55000.0;1;10;7338.2;1995;5;83.7;7;3;9.5;2019;0;0;0;1;56.9033008;24.0965273
42500.0;1;10;8530.6;1976;15;52.7;7;2;6.0;2019;0;0;0;1;56.9685594;24.0166063
43650.0;1;5;3434.8;1972;20;45.7;6;2;5.0;2019;0;0;0;1;56.9353489;24.0612972
28000.0;1;5;7726.3;1969;30;49.5;8;2;1.0;2019;0;0;0;1;56.9044396;24.206309
12000.0;1;5;5756.1;1973;30;33.4;5;1;4.0;2019;0;0;0;1;56.9405127;24.1530172
56200.0;1;5;5115.5;1989;20;54.0;7;2;5.0;2019;0;0;0;1;56.9441401;24.1742149
38500.0;1;5;3593.9;1971;10;34.7;4;1;1.0;2019;0;0;0;1;56.9932196;24.1924035
37000.0;1;9;6858.3;1986;10;39.8;6;1;3.0;2020;0;0;0;1;56.9412022;24.2123703
110000.0;1;5;2132.8;2012;0;75.9;6;3;1.0;2019;0;0;0;1;56.9582091;24.2551503
49500.0;1;5;7141.3;1972;25;46.7;5;2;4.0;2019;0;0;0;1;56.956623;24.1756578
49480.0;1;16;7283.1;1988;10;55.6;8;2;5.0;2019;0;0;0;1;56.9471315;24.1946086
28000.0;1;5;3365.5;1963;40;46.5;7;2;3.0;2020;0;0;0;1;57.0200842;24.1359523
52600.0;1;9;4885.5;1979;40;51.7;9;2;6.0;2020;0;0;0;1;56.9671508;24.2334526
32600.0;1;5;4106.2;1973;25;50.5;8;2;1.0;2019;0;0;0;1;56.9627925;24.0096395
20000.0;1;5;4451.5;1983;15;42.8;6;1;3.0;2020;0;0;0;1;57.0345906;24.0951728
44723.0;1;6;4155.9;1968;25;38.0;5;1;5.0;2020;0;0;0;1;56.9429171;24.0944839
73000.0;1;10;12704.2;1987;10;78.4;13;3;5.0;2019;0;0;0;1;56.9459876;24.0092529
28000.0;1;5;3862.0;1965;45;48.9;8;2;2.0;2019;0;0;0;1;56.9107165;24.176098
1800.0;1;5;3364.2;1969;20;47.8;7;2;4.0;2019;0;0;0;1;57.0459053;24.1751844
37500.0;1;5;5004.9;1976;10;33.8;4;1;4.0;2019;0;0;0;1;56.9144581;24.1087479
25800.0;1;5;2554.7;1967;20;25.2;4;1;3.0;2019;0;0;0;1;56.9710809;24.1014851
28000.0;1;4;2275.9;1959;25;40.7;5;2;1.0;2019;0;0;0;1;56.9405061;24.0404935
51000.0;1;11;17147.8;1991;0;60.4;9;2;6.0;2020;0;0;0;1;56.9014064;24.0854235
32000.0;1;5;3659.2;1962;20;44.4;6;2;5.0;2019;0;0;0;1;56.9670043;24.0505247
54000.0;1;5;6989.7;1973;35;68.2;8;3;3.0;2020;0;0;0;1;56.8958677;24.2152968
7000.0;1;4;2964.1;1962;40;17.0;4;1;4.0;2020;0;0;0;1;56.9117837;24.1930981
50000.0;1;5;5875.1;1974;25;60.0;8;3;4.0;2019;0;0;0;1;56.9576382;24.1939882
4400.0;1;2;705.2;1880;65;22.5;2;1;2.0;2020;0;0;0;1;56.930948;24.1625803
67300.0;1;9;9907.0;1985;15;64.1;9;3;4.0;2020;0;0;0;1;56.9341171;24.2076653
30000.0;1;5;3519.0;1959;15;42.6;8;2;5.0;2020;0;0;0;1;56.9891987;24.2259043
10000.0;1;10;5078.5;1980;30;79.6;12;4;2.0;2020;0;0;0;1;56.9620876;24.2344184
32000.0;1;5;3547.1;1970;20;36.9;6;2;5.0;2019;0;0;0;1;56.9221774;24.1719139
25900.0;1;5;4204.3;1974;20;39.1;7;1;5.0;2020;0;0;0;1;56.9640279;24.196048
15000.0;1;5;3963.9;1974;20;27.4;4;1;4.0;2020;0;0;0;1;56.9693593;24.0147433
13000.0;1;5;2052.9;1980;20;18.2;6;1;5.0;2019;0;0;0;1;56.9841173;24.1818442
49000.0;1;10;9872.5;1976;15;51.2;5;2;6.0;2020;0;0;0;1;56.9572609;24.0078165
14235.5;1;9;2376.5;1978;30;77.3;11;4;5.0;2019;0;0;0;1;56.9608965;24.2363012
44167.0;1;9;16850.3;1974;25;39.5;6;1;9.0;2019;0;0;0;1;56.9647186;24.1786968
30000.0;1;11;10125.7;1989;0;43.0;6;1;4.0;2020;0;0;0;1;56.9471614;24.0212423
10500.0;1;3;936.5;1960;35;18.7;3;1;1.0;2020;0;0;0;1;56.9129428;24.2066207
32000.0;1;5;7463.1;1967;20;43.9;6;2;1.0;2020;0;0;0;1;56.9077048;24.1884617
25500.0;1;5;3961.1;1980;15;51.3;8;2;3.0;2020;0;0;0;1;57.0326625;24.0962298
3601.0;6;3;1320.4;1880;70;16.3;1;1;2.0;2019;0;0;0;1;56.9450549;24.0553681
6901.0;8;2;343.0;1905;45;79.5;6;4;2.0;2019;0;1;0;0;57.0310234;24.1148221
28600.0;1;5;4243.3;1981;30;57.7;6;2;5.0;2019;0;0;0;1;56.9541719;24.1844684
80000.0;1;4;3125.4;2006;0;59.9;6;2;4.0;2019;0;0;0;1;56.958745;24.2443527
68034.0;1;9;9251.4;1983;25;77.4;13;3;7.0;2020;0;0;0;1;56.9488943;24.1977895
48000.0;1;5;3389.5;1973;15;50.1;7;2;2.0;2020;0;0;0;1;56.9176627;24.0943168
47900.0;1;5;4176.1;1974;20;51.2;7;2;1.0;2020;0;0;0;1;56.9677597;24.0152079
65000.0;1;5;5499.6;1968;30;59.0;5;3;2.0;2020;0;0;0;1;56.9220479;24.180483
64000.0;1;3;1098.4;1958;35;55.2;7;2;1.0;2020;0;0;0;1;56.9654262;24.1696182
20000.0;1;5;2797.2;1961;15;39.0;5;2;2.0;2020;0;0;0;1;56.9878089;24.1346132
38500.0;1;5;3461.2;1968;20;47.9;7;2;3.0;2020;0;0;0;1;56.9470359;24.0516149
77200.0;1;5;2306.4;1993;0;54.6;7;2;4.0;2020;0;0;0;1;56.970403;24.1005956
12550.0;1;5;5489.0;1968;30;39.6;6;2;3.0;2020;0;0;0;1;56.920081;24.1811699
38000.0;1;9;4894.1;1985;10;51.5;8;2;4.0;2020;0;0;0;1;56.9417741;24.2115422
95000.0;1;11;6862.9;1992;5;92.4;9;4;10.0;2020;0;0;0;1;56.8993703;24.0842134
34000.0;1;9;7324.4;1982;20;43.9;8;1;5.0;2020;0;0;0;1;56.9332943;24.19858
30000.0;1;5;6851.1;1971;25;38.7;6;2;5.0;2020;0;0;0;1;56.9655468;24.0619448
57690.0;1;5;3667.3;1965;35;53.4;8;3;3.0;2020;0;0;0;1;56.9715585;24.1321754
56000.0;1;10;4868.0;1981;10;79.0;12;4;5.0;2019;0;0;0;1;57.0343743;24.1014843
22350.0;1;3;1056.3;1960;30;34.5;6;1;3.0;2020;0;0;0;1;57.017731;24.2082808
22000.0;1;5;4748.3;1964;30;47.5;7;2;5.0;2020;0;0;0;1;56.9115107;24.1730681
42950.0;5;7;4608.0;1985;15;47.6;5;1;2.0;2020;0;0;0;1;56.960992;24.1499806
10000.0;1;4;2268.2;1961;35;39.0;5;2;1.0;2020;0;0;0;1;56.913286;24.1894573
32000.0;1;12;4603.7;1984;15;34.9;4;1;4.0;2020;0;0;0;1;56.9557134;24.0518953
68000.0;1;10;5129.2;1980;40;77.5;10;4;2.0;2020;0;0;0;1;56.9626203;24.2349116
25000.0;1;13;4972.8;1987;0;29.6;5;1;4.0;2020;0;0;0;1;56.8990769;24.0831344
34000.0;1;9;7186.3;1973;30;48.8;7;2;9.0;2020;0;0;0;1;56.9633752;24.1876626
18500.0;1;5;5557.3;1969;30;32.3;5;1;2.0;2019;0;0;0;1;56.960609;24.1811727
29000.0;1;5;7463.1;1967;20;45.3;6;2;2.0;2020;0;0;0;1;56.9077048;24.1884617
1800.0;1;5;4179.6;1981;15;39.0;7;1;1.0;2020;0;0;0;1;56.953397;24.1831406
34000.0;1;5;2722.0;1961;35;38.8;5;2;-1.0;2020;0;0;0;1;56.9700931;24.1310689
53500.0;1;9;4920.3;1982;15;74.9;11;4;2.0;2020;0;0;0;1;56.931693;24.1651859
70000.0;1;3;2039.3;1954;30;133.8;15;4;1.0;2020;0;0;0;1;56.9745927;24.1043506
61000.0;1;9;9554.4;1985;10;60.3;8;2;4.0;2020;0;0;0;1;56.9468986;24.1864547
60170.0;1;11;20583.1;1990;0;77.2;13;3;6.0;2020;0;0;0;1;56.9444567;24.0191103
65000.0;1;6;5771.6;1956;30;46.3;4;2;4.0;2020;0;0;0;1;56.9448305;24.12375
19000.0;1;9;2481.8;1974;25;51.2;7;2;7.0;2020;0;0;0;1;56.9248819;24.1689126
37460.0;1;5;3657.5;1971;30;47.0;7;2;4.0;2020;0;0;0;1;56.9454812;24.058431
33000.0;1;3;759.3;1960;15;48.3;7;2;2.0;2020;0;0;0;1;56.9412196;24.0609526
58000.0;1;5;2675.5;1972;25;61.0;6;3;3.0;2020;0;0;0;1;56.9558644;24.0484782
83500.0;1;9;6228.2;1981;15;91.8;16;4;9.0;2020;0;0;0;1;56.9510433;24.1811117
25000.0;1;6;2172.1;1961;20;28.8;4;1;5.0;2019;0;0;0;1;56.966172;24.0488391
54500.0;1;5;4695.2;1964;30;59.6;9;3;4.0;2020;0;0;0;1;56.9668835;24.177792
108000.0;1;4;6246.3;2007;0;84.6;7;3;2.0;2020;0;0;0;1;56.9582574;24.2448989
10000.0;2;5;3606.1;1968;25;59.0;7;3;1.0;2018;0;0;0;1;56.9162167;24.0884074
71000.0;1;8;5117.0;2013;0;61.4;6;2;1.0;2020;0;0;0;1;56.9645426;24.0149984
41740.0;2;5;2899.5;1975;25;50.6;8;2;4.0;2020;0;0;0;1;56.9571627;24.0047437
24500.0;1;5;7679.0;1967;35;38.4;7;2;3.0;2020;0;0;0;1;56.9091959;24.189863
22800.0;1;5;5392.2;1968;30;30.8;5;1;5.0;2020;0;0;0;1;56.9002574;24.213113
45900.0;1;5;5913.4;1981;25;53.8;8;2;3.0;2020;0;0;0;1;56.948114;24.1700651
20000.0;1;5;3900.8;1973;20;54.1;8;3;1.0;2020;0;0;0;1;56.9626043;24.0027839
7380.0;1;3;877.3;1959;35;17.2;3;1;2.0;2019;0;0;0;1;56.9132763;24.2071919
30000.0;1;5;3945.7;1986;15;65.6;8;3;4.0;2020;0;0;0;1;57.0375812;24.0286091
12500.0;1;5;7730.6;1969;30;27.4;5;1;5.0;2020;0;0;0;1;56.9038581;24.2055088
38450.0;1;5;5000.8;1967;10;46.5;7;2;4.0;2020;0;0;0;1;56.9717045;24.1001671
24450.0;1;5;6828.8;1968;40;49.3;5;2;4.0;2020;0;0;0;1;56.9128687;24.1781502
26775.0;1;5;5489.0;1968;30;47.3;7;2;3.0;2019;0;0;0;1;56.920081;24.1811699
23000.0;1;13;5204.4;1979;25;31.0;5;1;7.0;2020;0;0;0;1;56.9086823;24.1841297
54000.0;1;9;11933.4;1981;15;76.7;11;4;8.0;2020;0;0;0;1;56.9345958;24.1975426
37000.0;4;5;2771.9;1970;20;40.6;5;2;2.0;2020;0;0;0;1;56.9846931;24.1594864
33000.0;1;9;15973.1;1978;20;40.0;7;1;2.0;2020;0;0;0;1;56.9656285;24.1816148
37000.0;1;9;6807.0;1981;20;39.6;7;1;6.0;2020;0;0;0;1;56.9549733;24.1810386
36700.0;1;5;2615.1;1965;30;41.4;6;2;3.0;2020;0;0;0;1;56.9397457;24.1341856
30000.0;1;10;6412.8;1977;20;36.3;7;1;4.0;2020;0;0;0;1;56.9636057;24.0134458
108000.0;1;8;5117.0;2013;0;81.6;7;3;2.0;2020;0;0;0;1;56.9645426;24.0149984
15000.0;1;5;3686.4;1965;20;31.3;5;1;5.0;2020;0;0;0;1;57.0396554;24.0250337
30000.0;1;5;7216.3;1972;25;31.5;5;1;4.0;2020;0;0;0;1;56.9559117;24.1763677
2790.0;2;3;436.7;1923;55;20.1;2;1;1.0;2019;0;1;0;0;57.0466655;24.1732167
15900.0;1;5;3365.5;1963;40;30.6;5;1;2.0;2020;0;0;0;1;57.0200842;24.1359523
5010.0;8;3;1347.9;1921;60;37.4;2;2;2.0;2019;0;1;0;0;56.9801924;24.0846097
54000.0;1;10;5129.2;1980;40;80.4;12;4;4.0;2020;0;0;0;1;56.9626203;24.2349116
41000.0;1;5;6851.1;1971;25;50.4;6;2;3.0;2020;0;0;0;1;56.9655468;24.0619448
49000.0;1;10;9668.4;1977;20;60.9;12;3;5.0;2020;0;0;0;1;56.9593905;24.0030852
29800.0;1;10;6857.3;1973;20;52.4;7;2;3.0;2020;0;0;0;1;56.9615211;24.0111622
55000.0;1;9;9142.6;1972;25;50.5;8;2;4.0;2020;0;0;0;1;56.9595439;24.1798896
30600.0;1;5;4094.1;1973;25;49.8;7;2;1.0;2020;0;0;0;1;56.9621522;24.009085
29000.0;1;4;2182.8;1960;30;38.4;6;2;1.0;2020;0;0;0;1;56.9884542;24.2240515
28500.0;1;9;9854.8;1988;10;32.9;6;1;5.0;2020;0;0;0;1;56.9448021;24.214665
36400.0;1;5;4055.9;1971;20;48.5;7;2;2.0;2020;0;0;0;1;56.9661289;24.0643867
