Darījuma summa, EUR;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
41500.0;1;5;3157.1;1970;30.0;48.7;7;2;2.0;2023;0;0;0;1;56.9693436;24.0560821
175000.0;3;3;1184.4;1978;28.0;108.2;5;3;3.0;2023;0;1;0;0;56.9502711;24.1449936
77000.0;1;9;9635.6;1978;31.0;79.6;10;4;9.0;2023;0;0;0;1;56.9610193;24.2354903
54000.0;1;5;6117.3;1985;28.0;55.2;7;2;2.0;2023;0;0;0;1;56.9416302;24.0393162
34900.0;1;13;4628.8;1978;25.0;51.5;9;2;2.0;2023;0;0;0;1;57.0383526;24.0313895
60500.0;1;11;5313.1;2008;11.0;63.0;5;1;8.0;2023;0;0;0;1;56.9238911;24.1662121
29400.0;1;5;5924.4;1975;30.0;46.4;6;2;5.0;2024;0;0;0;1;57.0375559;24.0276855
54800.0;1;9;7191.1;1973;30.0;61.6;9;3;8.0;2023;0;0;0;1;56.9633752;24.1876626
31000.0;1;5;2479.2;1963;30.0;41.4;5;2;5.0;2023;0;0;0;1;56.9962798;24.1289052
38500.0;1;5;4926.1;1968;30.0;48.9;8;2;5.0;2023;0;0;0;1;56.9067626;24.2030938
41500.0;1;5;3572.2;1972;30.0;29.3;5;1;4.0;2023;0;0;0;1;56.9564977;24.0518894
30000.0;1;9;4913.4;1978;31.0;33.2;8;1;4.0;2023;0;0;0;1;56.9601367;24.232503
29500.0;1;10;3448.0;1986;0.0;43.7;6;1;5.0;2023;0;0;0;1;56.9344929;24.2082582
22000.0;1;9;9435.7;1983;10.0;45.8;7;1;6.0;2023;0;0;0;1;56.9543732;24.1662943
74900.0;1;6;4356.3;1981;30.0;78.7;12;3;1.0;2024;0;0;0;1;56.9510856;24.1799921
17000.0;1;5;6847.9;1966;27.0;49.8;7;2;4.0;2024;0;0;0;1;57.0288561;24.1047599
13000.0;3;2;547.9;1900;50.0;24.0;2;1;2.0;2023;0;0;0;1;56.9968177;24.1278726
40000.0;1;10;6384.8;1986;28.0;46.0;6;1;6.0;2024;0;0;0;1;56.9462388;24.0082749
33500.0;1;13;4972.2;1987;28.0;29.6;5;1;11.0;2024;0;0;0;1;56.8990769;24.0831344
50000.0;2;10;4210.7;1989;16.0;58.0;7;2;1.0;2024;0;0;0;1;56.9845501;24.1703155
39500.0;1;5;3547.1;1970;20.0;59.4;8;3;5.0;2024;0;0;0;1;56.9221774;24.1719139
54800.0;1;5;4587.1;1965;34.0;46.5;7;2;2.0;2023;0;0;0;1;56.9808751;24.2486806
35360.0;1;9;4885.5;1979;40.0;95.4;13;5;1.0;2023;0;0;0;1;56.9671508;24.2334526
10000.0;1;10;9629.6;1973;31.0;36.5;6;1;9.0;2023;0;0;0;1;56.9631409;24.0225868
106000.0;1;5;4394.7;1972;30.0;85.5;8;3;3.0;2023;0;0;0;1;56.9579344;24.1453028
32000.0;1;5;4625.5;1963;30.0;46.1;7;2;3.0;2023;0;0;0;1;57.0198423;24.1353841
46500.0;1;5;3395.5;1966;30.0;46.2;6;2;1.0;2024;0;0;0;1;56.9676379;24.1894886
44000.0;1;5;4598.8;1963;30.0;45.3;7;2;2.0;2024;0;0;0;1;56.9669472;24.1793021
30500.0;1;5;3676.1;1962;30.0;41.7;6;2;2.0;2023;0;0;0;1;56.9675831;24.0484269
59500.0;1;5;2813.6;1962;25.0;41.6;5;2;4.0;2023;0;0;0;1;56.942964;24.089182
70000.0;1;5;3567.5;1967;33.0;58.9;5;3;4.0;2024;0;0;0;1;56.9182908;24.1748723
33000.0;1;10;9799.1;1987;28.0;32.7;6;1;9.0;2024;0;0;0;1;56.942638;24.2210212
90000.0;1;5;4016.6;1913;30.0;54.3;8;3;1.0;2024;0;0;0;1;56.9725218;24.1652276
66000.0;1;5;2325.7;1962;44.0;41.4;6;2;3.0;2023;0;0;0;1;56.9415815;24.0903226
61500.0;1;5;3371.4;1981;15.0;53.8;7;2;5.0;2024;0;0;0;1;56.968351;24.1768565
41500.0;1;16;6794.2;1990;28.0;73.3;6;3;16.0;2024;0;0;0;1;56.9331551;24.204135
57000.0;1;9;2400.2;1983;20.0;76.8;12;4;3.0;2024;0;0;0;1;56.9367378;24.2051337
19000.0;1;5;6719.6;1967;30.0;26.1;4;1;5.0;2024;0;0;0;1;57.029896;24.1032934
53000.0;1;9;4885.5;1979;40.0;51.3;9;2;4.0;2024;0;0;0;1;56.9671508;24.2334526
124000.0;1;6;5892.5;1966;29.0;99.6;11;4;2.0;2023;0;0;0;1;56.9706848;24.1326826
72000.0;1;9;3140.4;1985;10.0;60.8;6;2;9.0;2023;0;0;0;1;56.947559;24.187127
13000.0;1;5;9246.4;1985;26.0;46.6;6;2;5.0;2024;0;0;0;1;57.0362736;24.0243314
75000.0;1;12;5596.2;1978;30.0;74.5;8;3;6.0;2024;0;0;0;1;56.9600107;24.1983984
44000.0;1;5;5878.2;1972;20.0;61.1;8;3;5.0;2024;0;0;0;1;56.9533808;24.0254248
38500.0;1;9;6866.1;1986;10.0;40.0;6;1;4.0;2024;0;0;0;1;56.9412022;24.2123703
