Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
26200.0;99.75;1;4;3172.8;1984;15;68.2;8;3;56.666389;22.493611;1.0;2020;0;0;0;1
30000.0;77.47;1;4;3172.8;1984;15;53.3;7;2;56.666389;22.493611;3.0;2020;0;0;0;1
11200.0;67.13;1;5;6019.5;1990;10;69.4;8;3;56.968611;21.971667;2.0;2020;0;0;0;1
22000.0;79.41;1;4;3172.8;1984;15;53.1;7;2;56.666389;22.493611;2.0;2020;0;0;0;1
17000.0;71.87;1;5;5194.8;1985;15;51.2;7;2;56.68;22.568333;5.0;2020;0;0;0;1
8000.0;58.1;1;5;3759.8;1984;10;43.6;6;1;56.535;21.166111;3.0;2020;0;0;0;1
18500.0;84.86;1;4;2075.8;1972;20;45.8;6;2;56.68;22.568333;1.0;2020;0;0;0;1
30000.0;139.03;2;4;835.9;1981;20;85.3;8;4;56.535;21.166111;3.0;2020;0;0;0;1
2500.0;234.32;2;1;100.3;1870;65;20.3;2;1;56.968611;21.971667;1.0;2020;0;0;0;1
32900.0;189.14;1;3;1869.3;1980;15;85.2;8;4;56.535;21.166111;2.0;2020;1;0;0;0
35000.0;21.78;1;5;3418.4;1970;35;73.5;9;4;56.968611;21.971667;3.0;2020;0;0;0;1
35000.0;79.43;1;5;6139.8;1994;10;80.0;10;3;57.246667;22.588611;2.0;2020;0;0;0;1
34000.0;134.19;1;3;1490.2;1985;15;65.3;7;3;56.666389;22.493611;1.0;2020;1;0;0;0
25000.0;83.67;1;5;6304.7;1979;10;57.6;7;2;56.966667;23.153333;3.0;2020;0;0;0;1
12000.0;40.43;1;5;3360.5;1969;10;36.1;7;2;56.68;22.568333;3.0;2020;0;0;0;1
14000.0;127.24;1;4;1574.5;1971;30;49.9;7;2;56.666389;22.493611;3.0;2020;1;0;0;0
8900.0;68.98;1;4;2791.1;1975;35;41.8;4;2;56.666389;22.493611;2.0;2017;0;1;0;0
37000.0;84.54;1;6;5213.5;2008;10;83.7;9;4;56.68;22.568333;4.0;2020;1;0;0;0
15000.0;198.31;1;4;3316.7;1984;20;54.2;7;2;56.889167;21.176944;2.0;2020;1;0;0;0
4000.0;128.51;1;3;1777.8;1980;15;61.2;9;2;56.666389;22.493611;3.0;2020;1;0;0;0
26750.0;27.3;1;5;1958.0;1995;10;65.8;8;3;56.968611;21.971667;3.0;2020;0;0;0;1
10000.0;95.7;1;4;2738.2;1987;11;35.7;4;1;56.666389;22.493611;1.0;2020;1;0;0;0
14000.0;17.6;1;5;4041.8;1984;30;51.6;7;2;56.968611;21.971667;2.0;2020;1;0;0;0
5000.0;143.88;1;2;304.2;1915;65;29.6;3;1;56.968611;21.971667;1.0;2020;1;0;0;0
13000.0;26.22;1;3;1318.3;1976;30;51.1;8;2;56.968611;21.971667;3.0;2020;1;0;0;0
10000.0;11.61;1;5;2897.5;1984;20;32.3;5;1;56.968611;21.971667;5.0;2020;1;0;0;0
20000.0;17.22;1;5;4076.1;1979;45;51.7;7;2;56.968611;21.971667;3.0;2020;1;0;0;0
10000.0;97.64;1;2;235.4;1890;40;51.1;6;3;56.968611;21.971667;2.0;2020;1;0;0;0
58000.0;205.73;1;3;534.2;2006;0;157.1;11;4;57.246667;22.588611;2.5;2020;1;0;0;0
2608.12;16.49;1;5;4103.2;1975;55;51.3;7;2;56.968611;21.971667;5.0;2006;0;1;0;0
27000.0;23.04;1;5;4117.1;1971;45;70.6;8;3;56.968611;21.971667;4.0;2020;1;0;0;0
1610.0;50.26;2;2;117.7;1886;65;15.9;2;1;56.966667;23.153333;2.0;2020;1;0;0;0
30000.0;50.07;1;5;3188.1;1967;30;68.1;5;3;56.966667;23.153333;5.0;2019;0;1;0;0
2180.0;51.21;2;2;117.7;1886;65;16.2;2;1;56.966667;23.153333;2.0;2020;1;0;0;0
10000.0;70.41;1;2;723.9;1960;40;31.2;4;1;56.68;22.568333;1.0;2020;1;0;0;0
16900.0;56.38;1;3;764.7;1959;40;43.0;6;2;57.246667;22.588611;2.0;2020;1;0;0;0
4290.0;675.69;3;2;192.0;1928;50;61.1;4;2;56.966667;23.153333;2.0;2020;0;0;0;1
13000.0;87.96;5;2;124.0;1910;46;54.8;7;2;56.968611;21.971667;1.0;2020;1;0;0;0
5500.0;45.42;1;3;657.3;1885;80;42.4;3;1;56.968611;21.971667;2.0;2020;1;0;0;0
6681.1;45.42;1;3;657.3;1885;80;42.4;3;1;56.968611;21.971667;2.0;2020;1;0;0;0
35000.0;189.14;1;3;1869.3;1980;15;88.0;10;4;56.535;21.166111;1.0;2018;1;0;0;0
1964.13;15.35;1;5;3243.5;1970;20;25.4;4;1;56.666389;22.493611;4.0;2020;1;0;0;0
4000.0;234.29;2;2;486.2;1890;60;34.7;4;1;56.968611;21.971667;1.0;2020;0;0;0;1
5000.0;15.5;1;5;3393.7;1971;30;48.7;9;2;56.966667;23.153333;3.0;2020;1;0;0;0
12000.0;17.73;1;5;4041.8;1984;30;52.0;7;2;56.968611;21.971667;2.5;2014;0;0;0;1
6000.0;57.33;1;5;2514.5;1969;35;35.5;6;2;57.246667;22.588611;3.0;2020;1;0;0;0
