Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
32000.0;74.1;1;6;3121.0;1978;30.0;66.1;8;3;57.246667;22.588611;4.0;2024;0;0;0;1
20250.0;45.64;1;3;873.1;1973;30.0;21.4;4;1;56.966667;23.153333;2.0;2023;0;1;0;0
3000.0;285.58;2;2;205.9;1930;55.0;20.7;2;1;57.0375;22.775;2.0;2024;0;0;0;1
8000.0;144.82;6;2;246.0;1930;50.0;23.6;2;1;56.966667;23.153333;2.0;2024;0;0;0;1
10000.0;44.2;1;4;2349.6;1966;35.0;41.1;6;2;56.68;22.568333;3.0;2024;0;0;0;1
5000.0;257.58;7;2;322.1;1900;55.0;58.5;5;3;56.966667;23.153333;1.0;2023;0;0;1;0
25000.0;38.23;1;6;3121.0;1978;30.0;34.1;4;1;57.246667;22.588611;2.0;2024;0;0;0;1
6000.0;86.9;2;2;248.2;1930;30.0;33.0;4;1;56.968611;21.971667;1.0;2024;0;0;0;1
4300.0;191.01;2;2;467.0;1910;55.0;30.9;3;1;57.246667;22.588611;2.0;2024;0;0;0;1
30000.0;79.61;1;5;6296.6;1979;29.0;52.5;7;2;56.966667;23.153333;4.0;2024;0;0;0;1
25000.0;55.32;1;5;3992.8;1973;30.0;33.8;4;1;56.968611;21.971667;3.0;2024;0;0;0;1
40000.0;22.68;1;5;4037.1;1983;28.0;66.2;8;3;56.968611;21.971667;1.0;2024;0;0;0;1
20000.0;7.64;1;5;3416.8;1970;30.0;25.8;4;1;56.968611;21.971667;5.0;2024;1;0;0;0
2000.0;189.0;6;2;246.0;1930;50.0;30.8;2;1;56.966667;23.153333;2.0;2024;1;0;0;0
21530.42;96.45;1;3;1294.2;1960;20.0;43.4;5;2;56.966667;23.153333;3.0;2024;0;0;0;1
17822.41;222.7;1;2;858.1;1955;35.0;53.3;6;2;56.966667;23.153333;1.0;2024;0;0;0;1
1115.0;109.55;2;2;235.3;1910;55.0;26.0;2;1;57.0375;22.775;1.0;2024;1;0;0;0
33000.0;15.74;1;5;2990.0;1985;30.0;49.2;7;2;56.968611;21.971667;4.0;2024;1;0;0;0
50000.0;52.81;1;6;7190.1;1980;29.0;70.5;7;3;56.966667;23.153333;1.0;2024;1;0;0;0
50000.0;218.23;1;2;311.1;1890;65.0;59.3;5;2;56.968611;21.971667;1.0;2024;1;0;0;0
1422.87;11.41;1;5;4037.1;1983;28.0;33.3;5;1;56.968611;21.971667;5.0;2001;0;1;0;0
2600.0;71.86;3;2;169.9;1904;65.0;33.9;3;1;57.246667;22.588611;1.0;2023;0;1;0;0
1000.0;60.91;1;2;324.7;1900;55.0;18.0;2;1;56.966667;23.153333;2.0;2024;1;0;0;0
11500.0;244.03;3;2;371.8;1960;35.0;40.5;5;2;56.535;21.166111;1.0;2024;1;0;0;0
62500.0;21.88;1;5;2990.0;1985;30.0;68.4;8;3;56.968611;21.971667;2.0;2024;0;0;0;1
30810.0;17.75;1;5;3416.8;1970;30.0;59.9;8;3;56.968611;21.971667;2.0;2024;0;0;0;1
25000.0;58.1;1;5;3759.8;1984;10.0;42.9;5;1;56.535;21.166111;4.0;2024;1;0;0;0
31500.0;42.2;1;4;4657.9;1966;20.0;41.1;5;2;56.966667;23.153333;2.0;2024;1;0;0;0
44000.0;36.46;1;5;3393.7;1971;30.0;56.9;10;3;56.966667;23.153333;5.0;2024;1;0;0;0
