Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
5000.0;44.0;1;5;3609.6;1980;30;31.6;4;1;55.875;26.535556;3.0;2020;0;0;0;1
5200.0;342.52;3;2;265.6;1920;30;53.7;5;2;55.875;26.535556;0.0;2019;0;0;1;0
4000.0;45.75;1;5;3794.5;1987;15;33.5;5;1;55.875;26.535556;1.0;2020;0;0;0;1
6500.0;45.11;1;5;6775.8;1966;45;47.9;7;2;55.875;26.535556;5.0;2020;0;0;0;1
2500.0;169.09;6;2;255.8;1918;55;44.0;4;2;55.875;26.535556;1.0;2020;0;0;0;1
5350.0;17.66;1;5;4547.0;1982;20;39.7;5;1;55.875;26.535556;1.0;2020;0;0;0;1
10000.0;32.88;1;5;2494.3;1979;20;37.9;6;2;55.875;26.535556;2.0;2020;0;0;0;1
4600.0;48.31;1;5;3443.9;1964;40;42.7;6;2;55.875;26.535556;3.0;2020;0;0;0;1
5500.0;35.07;1;5;3443.9;1964;40;30.2;4;1;55.875;26.535556;1.0;2020;0;0;0;1
28000.0;76.15;1;5;3324.6;1970;40;57.9;7;3;55.875;26.535556;1.0;2020;0;0;0;1
6000.0;59.52;1;5;4925.5;1970;35;59.5;7;2;55.875;26.535556;5.0;2020;0;0;0;1
5800.0;108.42;1;4;914.9;1962;40;42.5;5;2;55.875;26.535556;3.0;2020;0;0;0;1
8500.0;38.25;1;3;830.1;1920;45;46.7;6;2;55.875;26.535556;2.0;2020;0;0;0;1
17500.0;67.8;1;5;4934.8;1987;10;59.0;8;4;55.875;26.535556;1.0;2020;0;0;0;1
5000.0;45.13;1;5;8367.7;1975;30;34.8;4;1;55.875;26.535556;5.0;2020;0;0;0;1
8500.0;35.66;1;5;3342.9;1983;25;29.1;4;1;55.875;26.535556;1.0;2020;0;0;0;1
7000.0;28.92;1;5;3650.2;1968;30;35.1;5;1;55.875;26.535556;3.0;2020;0;0;0;1
12000.0;52.29;1;5;4934.8;1987;10;45.5;7;2;55.875;26.535556;2.0;2020;0;0;0;1
3200.0;29.02;1;5;2257.8;1963;40;32.7;5;1;55.875;26.535556;5.0;2020;0;0;0;1
20500.0;58.84;1;5;4844.7;1996;20;53.6;7;2;55.875;26.535556;5.0;2020;0;0;0;1
1650.0;21.77;1;5;6640.7;1987;10;28.8;4;1;55.875;26.535556;1.0;2019;0;0;0;1
3200.0;22.57;1;5;3349.2;1973;40;29.8;4;1;55.875;26.535556;1.0;2020;0;0;0;1
12500.0;43.82;1;5;3290.5;1989;20;36.9;6;2;55.875;26.535556;5.0;2020;0;0;0;1
4500.0;33.33;1;5;4934.8;1987;10;29.0;4;1;55.875;26.535556;1.0;2020;0;0;0;1
31500.0;68.52;1;9;4735.1;1990;10;79.7;11;4;55.875;26.535556;7.0;2020;0;0;0;1
29000.0;44.63;1;9;4959.9;1982;20;59.8;9;3;55.875;26.535556;7.0;2020;0;0;0;1
7000.0;52.26;1;5;3824.5;1974;30;54.8;7;2;55.875;26.535556;2.0;2020;0;0;0;1
