Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Garums;Platums;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
11200.0;57.3;1;5;5689.7;1978;30.0;54.6;7;2;55.875;26.535556;3.0;2024;0;0;0;1
28000.0;48.9;1;5;7021.8;1976;30.0;66.1;8;3;55.875;26.535556;3.0;2024;0;0;0;1
5650.0;37.14;1;5;8754.6;1982;28.0;33.8;5;1;55.875;26.535556;5.0;2024;0;0;0;1
6000.0;57.51;1;5;3213.6;1974;30.0;51.4;7;2;55.875;26.535556;3.0;2024;0;0;0;1
15400.0;63.2;2;2;379.5;1912;60.0;44.2;5;2;55.875;26.535556;2.0;2024;0;0;0;1
3800.0;33.68;1;5;2459.8;1967;40.0;26.2;4;1;55.875;26.535556;5.0;2024;0;0;0;1
7000.0;55.78;1;5;4990.4;1989;10.0;53.5;7;2;55.875;26.535556;5.0;2024;0;0;0;1
8400.0;39.86;1;5;3199.4;1970;35.0;45.7;6;2;55.875;26.535556;1.0;2024;0;0;0;1
16200.0;37.51;1;5;2802.1;1965;30.0;42.9;6;2;55.875;26.535556;4.0;2024;0;0;0;1
10000.0;47.56;1;5;3624.4;1967;30.0;47.1;7;2;55.875;26.535556;2.0;2024;0;0;0;1
4865.0;50.34;1;5;4728.9;1988;15.0;46.9;6;2;55.875;26.535556;1.0;2022;0;1;0;0
10000.0;57.99;1;3;1551.2;1977;40.0;69.7;7;3;55.875;26.535556;3.0;2024;0;0;0;1
9000.0;37.69;1;5;3321.8;1975;30.0;29.8;5;1;55.875;26.535556;2.0;2023;0;0;0;1
2500.0;27.8;1;9;3795.5;1991;20.0;39.5;5;1;55.875;26.535556;9.0;2024;0;0;0;1
11500.0;44.29;1;5;3305.3;1989;20.0;37.3;6;2;55.875;26.535556;2.0;2024;0;0;0;1
23500.0;47.88;1;5;3373.0;1963;30.0;43.5;7;2;55.875;26.535556;3.0;2024;0;0;0;1
12000.0;22.66;1;5;3450.3;1960;45.0;44.6;6;2;55.875;26.535556;2.0;2024;0;0;0;1
7000.0;36.47;1;5;2683.8;1964;30.0;30.5;5;1;55.875;26.535556;3.0;2024;0;0;0;1
5000.0;29.15;2;5;1929.1;1985;10.0;29.6;5;1;55.875;26.535556;2.0;2024;0;0;0;1
17500.0;28.02;1;5;2511.7;1964;24.0;29.9;4;1;55.875;26.535556;5.0;2024;0;0;0;1
19000.0;90.56;1;5;6642.9;1987;27.0;59.9;8;3;55.875;26.535556;3.0;2024;0;0;0;1
15500.0;34.2;1;5;2617.0;1964;40.0;41.9;7;2;55.875;26.535556;3.0;2024;0;0;0;1
4470.0;37.52;1;5;3364.6;1972;30.0;36.8;5;2;55.875;26.535556;1.0;2024;0;0;0;1
2200.0;75.54;2;1;91.1;1918;65.0;19.9;3;1;55.875;26.535556;1.0;2023;0;1;0;0
23000.0;30.49;1;5;4595.9;1967;40.0;43.0;6;2;55.875;26.535556;1.0;2024;0;0;0;1
9500.0;76.73;1;5;3890.7;1978;20.0;53.5;7;2;55.875;26.535556;3.0;2024;0;0;0;1
4556.0;338.58;2;2;274.6;1957;55.0;54.5;7;2;55.875;26.535556;1.0;2024;0;0;0;1
3000.0;30.51;1;5;2720.6;1971;30.0;25.9;4;1;55.875;26.535556;2.0;2024;0;0;0;1
10000.0;30.69;1;5;3561.0;1972;46.0;36.2;5;2;55.875;26.535556;1.0;2024;0;0;0;1
9000.0;57.32;1;3;1298.2;1964;35.0;41.5;6;2;55.875;26.535556;2.0;2024;0;0;0;1
8500.0;56.3;1;5;6461.4;1966;40.0;48.0;7;2;55.875;26.535556;5.0;2024;0;0;0;1
3200.0;43.69;1;5;6642.9;1987;27.0;28.9;4;1;55.875;26.535556;1.0;2024;0;0;0;1
5000.0;54.12;2;2;362.8;1890;50.0;27.7;4;1;55.875;26.535556;1.0;2024;0;0;0;1
7200.0;21.42;1;5;4855.7;1957;30.0;48.7;7;2;55.875;26.535556;2.0;2019;1;0;0;0
18125.0;34.12;1;5;3303.4;1976;40.0;52.8;7;2;55.875;26.535556;2.0;2024;0;0;0;1
2400.0;38.35;1;5;4937.8;1988;43.0;31.4;5;1;55.875;26.535556;3.0;2024;0;0;0;1
8000.0;34.72;1;4;3264.6;1959;36.0;35.6;7;1;55.875;26.535556;3.0;2024;0;0;0;1
29000.0;140.5;1;3;663.8;1958;40.0;49.2;6;2;55.875;26.535556;2.0;2024;0;0;0;1
12000.0;42.37;1;5;3276.2;1985;28.0;37.1;6;2;55.875;26.535556;4.0;2024;0;0;0;1
1500.0;40.58;1;5;5319.0;1985;15.0;46.5;7;2;55.875;26.535556;5.0;2023;0;0;0;1
3200.0;89.63;1;4;2107.5;1967;30.0;47.3;6;2;55.875;26.535556;1.0;2024;0;0;0;1
13000.0;41.19;1;5;3541.4;1962;40.0;30.2;4;1;55.875;26.535556;3.0;2024;0;0;0;1
9900.0;34.62;1;9;3909.6;1969;30.0;32.0;4;1;55.875;26.535556;4.0;2024;0;0;0;1
7000.0;47.76;1;5;3164.0;1971;30.0;46.4;7;2;55.875;26.535556;3.0;2024;0;0;0;1
15060.0;51.4;1;5;2683.8;1964;30.0;41.2;5;2;55.875;26.535556;1.0;2024;0;0;0;1
14000.0;16.73;1;5;4895.2;1981;30.0;34.3;5;1;55.875;26.535556;3.0;2024;0;0;0;1
16620.0;100.41;1;2;527.5;1947;50.0;60.0;8;2;55.875;26.535556;2.0;2023;0;0;0;1
6200.0;33.94;1;5;2657.8;1982;28.0;29.6;5;1;55.875;26.535556;5.0;2024;0;0;0;1
3600.0;25.2;2;5;4710.6;1988;26.0;52.6;7;2;55.875;26.535556;5.0;2024;0;0;0;1
3500.0;34.01;1;5;4940.5;1987;28.0;29.6;5;1;55.875;26.535556;4.0;2024;0;0;0;1
10000.0;51.83;1;5;3826.2;1974;30.0;52.7;7;2;55.875;26.535556;4.0;2024;0;0;0;1
25500.0;58.24;1;5;3524.5;1988;30.0;59.1;7;3;55.875;26.535556;1.0;2024;0;0;0;1
35000.0;77.46;1;5;2716.8;1973;45.0;64.9;8;3;55.875;26.535556;5.0;2024;0;0;0;1
5000.0;45.85;1;5;2842.8;1971;30.0;35.6;5;1;55.875;26.535556;1.0;2024;0;0;0;1
36000.0;62.92;1;5;2716.8;1973;45.0;54.3;7;2;55.875;26.535556;5.0;2024;0;0;0;1
3000.0;40.58;1;5;5319.0;1985;15.0;46.5;7;2;55.875;26.535556;5.0;2024;0;0;0;1
10000.0;38.61;1;5;3522.0;1990;10.0;29.8;5;1;55.875;26.535556;4.0;2024;0;0;0;1
10660.0;94.22;1;2;527.5;1947;50.0;56.3;6;3;55.875;26.535556;2.0;2023;0;0;0;1
28000.0;45.34;1;5;4282.7;1989;20.0;52.6;7;2;55.875;26.535556;3.0;2024;0;0;0;1
31000.0;21.35;1;5;5857.0;1980;30.0;46.7;6;2;55.875;26.535556;3.0;2024;0;0;0;1
19300.0;65.13;1;5;4830.1;1970;40.0;73.2;9;4;55.875;26.535556;3.0;2024;0;0;0;1
10000.0;22.31;1;5;3199.4;1970;35.0;25.7;4;1;55.875;26.535556;5.0;2024;0;0;0;1
12200.0;54.8;2;5;3314.5;1982;30.0;39.0;6;2;55.875;26.535556;4.0;2024;0;0;0;1
6200.0;20.99;1;5;6314.0;1987;26.0;36.5;4;2;55.875;26.535556;4.0;2024;0;0;0;1
4500.0;19.22;1;5;5487.2;1971;30.0;53.7;7;2;55.875;26.535556;2.0;2023;0;1;0;0
15000.0;61.36;1;5;4908.9;1971;30.0;44.4;6;2;55.875;26.535556;1.0;2024;0;0;0;1
4000.0;6.94;1;5;2640.7;1960;40.0;29.1;4;1;55.875;26.535556;3.0;2024;0;0;0;1
7450.0;129.45;2;2;469.1;1959;45.0;35.2;4;1;55.875;26.535556;2.0;2024;0;0;0;1
22000.0;42.89;1;9;3775.0;1966;40.0;46.1;5;2;55.875;26.535556;1.0;2024;0;0;0;1
3700.0;61.67;1;5;3341.2;1965;40.0;42.6;6;2;55.875;26.535556;2.0;2024;0;0;0;1
6000.0;18.48;1;5;2111.2;1959;50.0;33.2;6;1;55.875;26.535556;2.0;2024;0;0;0;1
11000.0;46.14;1;5;3606.9;1963;45.0;41.8;6;2;55.875;26.535556;5.0;2024;0;0;0;1
15450.0;80.83;1;2;527.5;1947;50.0;48.3;5;2;55.875;26.535556;1.0;2023;0;0;0;1
5000.0;28.26;1;5;3630.7;1991;15.0;31.9;5;1;55.875;26.535556;2.0;2024;0;0;0;1
