Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Platums;Garums;Remonts;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema
10000.0;102.09;1;2;198.4;1930;60;26.2;4;1;56.9313363;24.0566099;NULL;1.0;2019;0;0;0;1
29200.0;41.53;1;5;4450.9;1982;20;43.2;6;1;56.9496256;24.2024077;NULL;5.0;2019;0;0;0;1
43900.0;65.55;1;5;3607.3;1963;40;40.9;5;2;56.9785091;24.1718626;NULL;5.0;2019;0;0;0;1
98212.5;26.11;3;5;1153.6;1900;30;48.5;3;2;56.952689;24.1298802;NULL;4.0;2019;0;0;0;1
5150.0;85.11;2;2;654.3;1940;60;24.5;2;1;56.9295543;24.1693682;0;2.0;2019;0;1;0;0
28000.0;40.73;1;5;4158.4;1982;15;42.6;6;1;56.9495175;24.2030907;NULL;1.0;2019;0;0;0;1
30000.0;36.56;3;2;306.9;1860;70;40.3;4;1;56.9564258;24.1220448;NULL;2.0;2019;0;0;0;1
31300.0;39.59;1;5;3372.7;1961;35;32.2;4;1;56.9449141;24.0654569;1;1.0;2019;0;0;0;1
60000.0;37.17;2;4;1667.0;1929;50;49.0;6;2;56.9474742;24.060385;NULL;3.0;2019;0;0;0;1
25000.0;19.69;3;4;1065.9;1898;60;23.7;3;1;56.9558446;24.1532916;NULL;1.0;2019;0;0;0;1
73000.0;23.73;1;5;2058.2;1910;45;49.9;4;2;56.9586086;24.1456071;NULL;4.0;2019;0;0;0;1
16000.0;23.96;3;4;395.7;1905;55;24.6;2;1;56.938783;24.1454443;NULL;3.0;2019;0;1;0;0
66500.0;32.46;1;9;8436.9;2007;0;59.5;5;2;56.9409936;24.2201132;NULL;5.0;2019;0;1;0;0
40000.0;61.32;1;5;4943.1;1967;25;55.3;9;3;56.9517322;24.0500287;NULL;4.0;2019;0;0;0;1
8100.0;62.8;1;3;1372.4;1910;50;53.0;5;2;56.9938717;24.129476;0;-1.0;2019;0;0;0;1
173000.0;32.15;2;7;2550.4;1910;55;96.7;7;3;56.9588057;24.1168614;NULL;4.0;2019;0;0;0;1
4105.0;101.38;2;2;347.6;1908;50;34.1;3;2;56.9861967;24.17038;0;1.0;2019;0;1;0;0
85000.0;47.12;4;7;3282.8;1910;50;72.4;9;3;56.958418;24.1127962;NULL;1.0;2019;0;0;0;1
16000.0;43.04;3;2;801.5;1880;65;16.1;2;1;56.9748017;24.1407028;NULL;1.0;2019;0;0;0;1
130000.0;46.91;1;9;3030.0;2019;0;66.5;6;3;56.9692355;24.2377072;NULL;9.0;2019;0;0;0;1
58000.0;24.66;1;6;1493.6;1912;28;46.5;3;2;56.9508314;24.1278065;NULL;3.0;2019;0;0;0;1
60000.0;63.46;1;10;6760.6;1975;20;50.0;7;2;56.9642181;24.0019846;NULL;5.0;2019;0;0;0;1
32005.0;29.39;1;5;6246.9;1904;35;82.1;3;1;56.9440245;24.0794221;NULL;5.0;2019;0;0;0;1
150000.0;55.22;5;7;2808.8;2006;0;74.5;7;2;56.9655037;24.1009237;0;4.0;2019;0;0;0;1
63000.0;36.25;1;9;4957.4;1982;10;50.4;5;2;56.9405373;24.2030058;NULL;7.0;2019;0;0;0;1
77000.0;21.19;1;9;11940.4;2017;0;41.4;4;2;56.9886702;24.1689025;NULL;8.0;2019;0;0;0;1
147240.0;130.38;1;5;5337.7;2019;0;85.1;10;4;56.9556183;24.1854622;NULL;3.0;2019;0;0;0;1
38500.0;41.8;1;16;7071.1;1991;5;44.5;5;1;56.9414233;24.2037897;0;15.0;2019;0;0;0;1
77500.0;72.01;1;5;5337.7;2019;0;47.0;4;2;56.9556183;24.1854622;NULL;3.0;2019;0;0;0;1
120700.0;100.66;1;5;5337.7;2019;0;65.7;7;3;56.9556183;24.1854622;NULL;4.0;2019;0;0;0;1
96309.0;49.62;1;5;6246.9;1904;35;138.6;8;5;56.9440245;24.0794221;NULL;3.0;2019;0;0;0;1
55847.0;26.35;1;5;6246.9;1904;35;73.6;6;3;56.9440245;24.0794221;NULL;2.0;2019;0;0;0;1
197000.0;136.76;1;4;2973.9;1974;10;159.9;8;2;56.9753219;24.1842709;NULL;3.5;2019;0;0;0;1
32000.0;59.02;2;5;2536.4;1971;25;46.0;4;2;57.009224;24.1251458;NULL;1.0;2019;0;0;0;1
26000.0;702.32;8;2;248.0;1870;55;92.7;8;2;56.9153539;24.1320306;NULL;1.0;2018;0;0;1;0
45000.0;99.36;1;5;3404.1;1962;30;58.0;7;3;56.9860934;24.2417653;NULL;1.0;2019;0;0;0;1
35000.0;89.09;1;5;2234.6;1979;15;66.7;10;3;57.0337053;24.056596;0;2.0;2019;0;0;0;1
62000.0;38.29;1;10;8609.8;1989;10;70.0;9;3;56.9036301;24.0946831;NULL;1.0;2019;0;0;0;1
8300.0;62.24;2;2;476.8;1912;65;26.9;3;1;56.9172123;24.086832;NULL;1.0;2019;0;0;0;1
9500.0;65.94;2;2;493.1;1900;60;28.5;2;1;56.917344;24.0874689;NULL;1.0;2019;0;0;0;1
99300.0;54.07;1;5;6955.6;2019;0;65.6;6;3;56.9556201;24.0534049;NULL;1.0;2019;0;0;0;1
7500.0;22.03;7;3;1127.0;1915;60;22.7;2;1;56.9929495;24.1278353;NULL;3.0;2019;0;0;0;1
11000.0;25.45;1;5;3575.6;1913;60;21.1;3;1;56.9942483;24.1282463;NULL;2.0;2019;0;0;0;1
9000.0;23.28;1;5;3575.6;1913;60;19.3;2;1;56.9942483;24.1282463;NULL;4.0;2019;0;0;0;1
64000.0;99.59;1;6;4141.3;1963;30;74.7;6;2;56.9878099;24.2172112;NULL;6.0;2019;0;0;0;1
90500.0;76.61;1;5;5337.7;2019;0;50.0;4;2;56.9556183;24.1854622;NULL;3.0;2019;0;0;0;1
68500.0;48.08;1;11;6860.5;1991;5;76.8;13;3;56.9014011;24.0882291;NULL;9.0;2019;0;0;0;1
78400.0;63.2;1;4;2336.1;1897;55;56.5;6;2;56.964351;24.1392434;NULL;4.0;2019;0;0;0;1
16000.0;23.51;1;4;1847.2;1920;50;36.8;6;2;56.9393727;24.1268232;NULL;3.0;2019;0;0;0;1
150000.0;37.76;3;24;17263.9;2006;0;95.3;7;2;56.9594336;24.0142317;NULL;16.0;2019;0;0;0;1
11800.0;109.15;4;2;215.6;1913;65;22.0;4;1;56.9209426;24.0825142;NULL;2.0;2019;0;1;0;0
22000.0;55.08;1;5;2195.1;1974;25;49.3;7;2;57.0323385;24.0539082;0;5.0;2019;0;0;0;1
34000.0;33.02;1;4;1847.2;1920;50;52.7;6;2;56.9393727;24.1268232;NULL;3.0;2019;0;0;0;1
36700.0;79.91;1;3;739.9;1926;50;47.3;5;2;56.9798962;24.1917818;NULL;1.0;2019;0;1;0;0
50000.0;79.15;3;9;9860.0;1973;20;59.6;9;3;56.9727233;24.1324244;NULL;6.0;2019;0;0;0;1
111000.0;98.84;1;9;3033.0;2019;0;64.7;6;3;56.9694342;24.2369351;NULL;4.0;2019;0;0;0;1
138665.0;130.23;1;5;5337.7;2019;0;85.0;10;4;56.9556183;24.1854622;NULL;4.0;2019;0;0;0;1
75000.0;21.14;1;9;11940.4;2017;0;41.3;4;2;56.9886702;24.1689025;NULL;4.0;2019;0;0;0;1
101711.6;42.9;1;9;3917.5;2019;0;60.2;6;2;56.9519907;24.0048332;NULL;6.0;2019;0;0;0;1
124000.0;17.44;1;8;15614.8;2018;0;55.8;3;2;56.9657079;24.1052027;NULL;2.0;2019;0;0;0;1
117500.0;99.44;1;5;5337.7;2019;0;64.9;7;3;56.9556183;24.1854622;NULL;2.0;2019;0;0;0;1
111777.0;62.4;1;5;6246.9;1904;35;170.7;14;5;56.9440245;24.0794221;NULL;3.0;2019;0;0;0;1
44000.0;13.62;1;7;3052.6;1929;45;132.3;14;6;56.951605;24.1264936;NULL;5.0;2019;0;0;0;1
26000.0;40.81;1;5;5115.3;1967;25;45.2;6;2;56.979111;24.1699016;0;1.0;2019;0;1;0;0
20000.0;44.36;1;5;5317.8;1970;35;46.6;7;2;56.9001271;24.2041708;NULL;2.0;2019;0;0;0;1
46900.0;92.32;1;5;3188.7;1971;30;68.1;9;3;56.969946;24.052034;NULL;3.0;2019;0;0;0;1
44000.0;45.18;1;5;3109.8;1969;30;42.7;6;2;56.9868844;24.2162039;NULL;5.0;2019;0;0;0;1
16600.0;99.69;6;2;320.2;1885;60;24.5;2;1;57.0012043;24.1198717;0;2.0;2019;0;0;0;1
70000.0;20.22;3;6;3524.1;1914;35;49.1;3;2;56.9647163;24.1414536;NULL;6.0;2019;0;0;0;1
32000.0;36.12;1;9;3672.0;1989;5;44.9;5;1;56.9010982;24.0954095;NULL;4.0;2019;0;0;0;1
94600.0;46.08;1;5;6955.6;2019;0;55.9;4;2;56.9556201;24.0534049;NULL;2.0;2019;0;0;0;1
40000.0;49.27;6;5;1425.5;1910;55;40.6;4;2;56.9339579;24.0767791;NULL;3.0;2019;0;0;0;1
54500.0;50.45;1;4;1219.2;2009;0;38.0;3;2;56.9398803;24.14181;1;2.0;2019;0;0;0;1
50000.0;54.01;1;14;4803.8;1974;25;73.7;10;3;56.986114;24.2269114;NULL;9.0;2019;0;0;0;1
35000.0;55.39;1;10;5179.9;1976;20;50.6;7;2;57.0167349;24.1325222;NULL;8.0;2019;0;0;0;1
10000.0;26.83;1;2;1136.3;1900;60;21.8;2;1;56.9933915;24.1276192;NULL;2.0;2019;0;0;0;1
96500.0;77.07;1;5;5337.7;2019;0;50.3;6;3;56.9556183;24.1854622;NULL;4.0;2019;0;0;0;1
90500.0;76.45;1;5;5337.7;2019;0;49.9;4;2;56.9556183;24.1854622;NULL;2.0;2019;0;0;0;1
98000.0;62.98;1;5;4190.2;2019;0;52.9;4;2;56.9555114;24.1825157;NULL;4.0;2019;0;0;0;1
92000.0;101.73;1;5;5337.7;2019;0;66.4;7;3;56.9556183;24.1854622;NULL;4.0;2019;0;0;0;1
5000.0;98.94;7;2;346.0;1915;55;19.7;2;1;56.9214414;24.0933473;NULL;2.0;2019;0;1;0;0
5000.0;56.46;6;2;518.4;1900;65;19.9;2;1;56.9923881;24.1274745;NULL;2.0;2019;0;1;0;0
218370.06;137.23;1;4;1717.2;2019;0;124.2;7;2;56.9409497;24.0621428;NULL;4.0;2019;0;0;0;1
235000.0;48.62;1;10;16152.9;2014;0;113.2;9;4;56.9710469;24.1237162;NULL;8.0;2019;0;0;0;1
7200.0;22.94;1;4;3013.4;1961;30;12.4;4;1;57.0298932;24.1000913;NULL;4.0;2019;0;0;0;1
32950.0;12.08;2;5;1134.3;1912;50;26.3;3;1;56.9564799;24.1463196;NULL;4.0;2019;0;1;0;0
129600.0;63.3;1;5;6955.6;2019;0;76.8;7;3;56.9556201;24.0534049;NULL;3.0;2019;0;0;0;1
96500.0;76.3;1;5;5337.7;2019;0;49.8;6;3;56.9556183;24.1854622;NULL;2.0;2019;0;0;0;1
73000.0;73.54;1;5;5337.7;2019;0;48.0;4;2;56.9556183;24.1854622;NULL;3.0;2019;0;0;0;1
15000.0;48.31;1;5;2222.7;1972;20;48.7;7;2;56.9571384;24.0328038;NULL;1.0;2019;0;0;0;1
5000.0;61.19;6;2;518.4;1900;65;21.7;2;1;56.9923881;24.1274745;NULL;1.0;2020;0;0;0;1
4200.0;65.75;1;5;3952.8;1975;10;53.4;7;2;57.0275788;24.0448852;NULL;1.0;2019;0;0;0;1
64500.0;19.63;4;5;2143.2;1880;24;41.8;3;1;56.962974;24.1281688;NULL;0.0;2019;0;0;1;0
48900.0;39.32;1;5;6074.1;1951;30;45.6;6;2;56.9962497;24.1232233;NULL;5.0;2019;0;0;0;1
2500.0;8.44;1;5;3929.2;1970;30;43.8;5;1;57.0270672;24.0383848;NULL;3.0;2019;0;0;0;1
142370.06;89.94;1;4;1717.2;2019;0;81.4;5;3;56.9409497;24.0621428;NULL;1.0;2019;0;0;0;1
151000.0;61.86;1;9;3030.0;2019;0;87.7;6;3;56.9692355;24.2377072;NULL;6.0;2019;0;0;0;1
164740.06;86.95;1;4;1717.2;2019;0;78.7;5;3;56.9409497;24.0621428;NULL;2.0;2019;0;0;0;1
56500.0;94.41;1;5;4011.8;1969;30;67.5;8;3;56.9700323;24.0662584;NULL;1.0;2019;0;0;0;1
103500.0;102.96;1;5;5337.7;2019;0;67.2;7;3;56.9556183;24.1854622;NULL;2.0;2019;0;0;0;1
124000.0;46.84;1;9;3030.0;2019;0;66.4;6;3;56.9692355;24.2377072;NULL;8.0;2019;0;0;0;1
117500.0;63.22;1;5;6955.6;2019;0;76.7;7;3;56.9556201;24.0534049;NULL;1.0;2019;0;0;0;1
184000.0;77.66;1;9;3030.0;2019;0;110.1;8;4;56.9692355;24.2377072;NULL;9.0;2019;0;0;0;1
46000.0;33.57;1;9;14369.7;1983;15;49.3;7;2;56.9553072;24.1962533;NULL;9.0;2019;0;0;0;1
105000.0;93.61;1;5;5337.7;2019;0;61.1;6;3;56.9556183;24.1854622;0;1.0;2019;0;0;0;1
47881.0;15.32;1;5;6246.9;1904;35;42.8;5;2;56.9440245;24.0794221;NULL;2.0;2019;0;0;0;1
25500.0;58.5;1;5;4336.3;1956;40;45.9;4;1;56.9816231;24.1949624;NULL;2.5;2020;0;0;0;1
24500.0;52.0;1;5;4336.3;1956;40;40.8;4;2;56.9816231;24.1949624;NULL;2.0;2020;0;0;0;1
43000.0;179.16;1;2;396.6;1929;55;45.6;6;2;56.987718;24.2222466;NULL;2.0;2020;0;0;0;1
9400.0;28.21;2;3;623.5;1910;55;26.0;3;1;56.9940344;24.1261596;NULL;2.0;2016;0;0;0;1
45000.0;135.71;1;5;3218.4;1970;20;76.5;10;3;56.9710573;24.0586418;NULL;2.0;2020;0;0;0;1
63000.0;43.34;3;7;9505.2;2006;0;58.5;5;1;56.9090109;24.0784563;NULL;4.0;2019;0;0;0;1
53000.0;65.52;1;5;4910.8;1985;20;66.7;8;3;57.0271215;24.0530514;NULL;1.0;2020;0;0;0;1
111000.0;97.47;1;9;3033.0;2019;0;63.8;6;3;56.9694342;24.2369351;0;2.0;2019;0;0;0;1
9000.0;59.4;2;2;498.6;1875;45;32.1;5;1;56.9220363;24.0915934;NULL;1.0;2019;0;0;0;1
120000.0;129.46;1;5;5337.7;2019;0;84.5;10;4;56.9556183;24.1854622;NULL;1.0;2019;0;0;0;1
52000.0;78.43;1;12;4417.3;1978;20;45.0;6;2;56.9726228;24.1315581;NULL;8.0;2020;0;0;0;1
22350.0;9.09;1;6;3314.4;1912;32;22.3;2;1;56.9672021;24.1496744;NULL;6.0;2019;0;0;0;1
45500.0;92.23;1;5;3181.7;1978;15;49.3;8;2;56.953969;24.201443;NULL;3.0;2020;0;0;0;1
89000.0;104.26;1;4;8025.4;2004;0;63.9;5;1;56.942328;24.0049275;NULL;1.0;2019;0;0;0;1
50000.0;80.21;1;9;7398.0;1985;20;75.3;11;4;56.9536014;24.197119;NULL;6.0;2020;0;0;0;1
35000.0;42.65;1;5;4599.3;1961;20;43.5;5;2;56.9626889;24.0484116;NULL;2.0;2020;0;0;0;1
25000.0;54.89;1;5;6765.4;1965;30;48.7;7;2;56.9027462;24.2039144;NULL;5.0;2020;0;0;0;1
20000.0;145.13;5;2;394.7;1900;70;58.5;4;2;56.970486;24.1635493;NULL;2.0;2019;0;0;0;1
37000.0;19.44;1;7;1801.8;1989;5;36.8;5;1;56.9722476;24.1366867;NULL;1.0;2020;0;0;0;1
70763.0;24.09;1;5;6246.9;1904;35;67.3;7;3;56.9440245;24.0794221;NULL;3.0;2019;0;0;0;1
5800.0;171.66;3;2;183.8;1953;35;29.5;2;1;57.0406282;24.0377259;NULL;1.0;2019;0;0;0;1
74987.8;54.15;1;5;4798.7;2017;0;53.4;4;2;56.9383475;24.2235272;NULL;2.0;2019;0;0;0;1
2101.0;72.9;2;2;311.7;1908;60;20.6;2;1;56.9858778;24.1714858;NULL;2.0;2019;0;0;1;0
55000.0;27.26;1;6;4627.9;1901;65;79.2;9;3;56.9389495;24.1332429;NULL;6.0;2019;0;0;0;1
75000.0;41.73;3;5;3469.8;1900;55;104.0;13;4;56.9415115;24.1298826;NULL;5.0;2019;0;1;0;0
77732.0;45.22;3;9;4102.3;2008;0;57.9;4;2;56.9521112;24.0002292;1;5.0;2019;0;0;0;1
95000.0;35.26;1;4;5574.9;1911;50;66.5;7;3;56.9525243;24.1400411;NULL;3.0;2020;0;0;0;1
7000.0;78.65;3;4;1631.0;1951;50;57.7;7;2;56.9677988;24.1025655;NULL;4.0;2019;0;0;0;1
41000.0;57.96;1;5;5010.5;1964;40;46.5;6;2;56.913862;24.1734976;NULL;2.0;2020;0;0;0;1
53500.0;63.21;1;5;4852.2;1967;35;66.4;10;3;56.9531566;24.0527497;NULL;4.0;2020;0;0;0;1
17000.0;10.92;1;9;4918.3;1981;20;32.7;7;1;57.0334577;24.1033642;NULL;1.0;2020;0;0;0;1
102800.0;48.96;1;5;6955.6;2019;0;59.4;4;2;56.9556201;24.0534049;NULL;2.0;2019;0;0;0;1
25000.0;29.88;1;5;3963.9;1972;10;50.7;7;2;56.9148761;24.0959435;NULL;1.0;2020;0;0;0;1
6300.0;28.88;1;5;2571.0;1968;18;18.3;1;1;56.9921122;24.2287777;NULL;2.0;2019;0;1;0;0
26000.0;54.57;1;5;4914.0;1979;15;48.0;8;2;56.9511312;24.198465;NULL;5.0;2020;0;0;0;1
24250.0;41.77;1;6;4588.5;1984;35;43.4;7;1;57.0269742;24.042278;NULL;3.0;2019;0;0;0;1
41000.0;13.84;4;4;149.9;1898;45;22.5;4;1;56.9526735;24.1317454;NULL;2.0;2019;0;0;0;1
38000.0;13.18;4;4;149.9;1898;45;22.4;4;1;56.9526735;24.1317454;NULL;3.0;2019;0;0;0;1
37000.0;14.15;4;4;149.9;1898;45;22.2;5;1;56.9526735;24.1317454;NULL;4.0;2019;0;0;0;1
20000.0;39.11;1;14;4738.0;1973;25;35.6;4;1;56.9883629;24.2366467;NULL;3.0;2019;0;0;0;1
39300.0;40.27;1;7;14923.6;1999;35;131.5;13;5;56.9501967;24.1252933;NULL;6.0;2019;0;1;0;0
35678.0;11.71;1;5;6246.9;1904;35;32.7;5;1;56.9440245;24.0794221;NULL;3.0;2019;0;0;0;1
21500.0;84.4;1;5;5145.5;1982;15;56.1;7;2;57.0402465;24.0303146;NULL;2.0;2019;0;0;0;1
63000.0;7.1;2;4;1006.9;1938;50;34.2;4;1;56.961946;24.1022003;NULL;1.0;2019;0;0;0;1
54500.0;41.7;1;11;10125.7;1989;0;77.5;14;3;56.9471614;24.0212423;NULL;2.0;2020;0;0;0;1
10000.0;58.43;3;3;2337.9;1910;50;29.1;2;1;57.0234206;24.1325778;NULL;3.0;2019;0;0;0;1
152200.0;138.8;1;3;1664.0;2010;0;112.7;7;4;56.9538253;23.9893791;NULL;3.0;2019;0;0;0;1
149800.0;140.28;1;3;1664.0;2010;0;113.9;7;4;56.9538253;23.9893791;NULL;1.0;2019;0;0;0;1
15000.0;100.88;2;2;493.1;1900;60;43.6;5;2;56.917344;24.0874689;NULL;1.0;2019;0;0;0;1
108900.0;54.15;1;5;6955.6;2019;0;65.7;6;3;56.9556201;24.0534049;NULL;3.0;2019;0;1;0;0
40000.0;26.58;1;5;5247.6;1971;20;29.0;5;1;56.9305835;24.0731611;NULL;2.0;2020;0;0;0;1
32000.0;60.06;1;5;7289.0;1969;35;39.5;6;2;56.9002015;24.2083628;NULL;5.0;2019;0;0;0;1
30000.0;143.51;2;3;377.8;1925;70;59.2;4;2;56.9374818;24.0713964;NULL;2.0;2019;0;0;0;1
33000.0;39.1;1;6;3288.7;1978;10;34.9;4;1;56.9534275;24.0501989;NULL;3.0;2020;0;0;0;1
22500.0;48.14;3;4;631.0;1910;35;42.9;3;2;56.9612554;24.1479673;NULL;1.0;2019;0;1;0;0
