Darījuma summa, EUR;Prognozētā summa;Relatīvā kļūda
5000.0;71626.13;13.3252265625
5000.0;52548.863;9.50977265625
5000.0;49764.33;8.952865625
7800.0;75261.21;8.648873197115385
12000.0;111734.18;8.311181640625
10535.0;90952.086;7.6333256703844325
5900.0;50690.434;7.591598914194916
5000.0;40159.523;7.0319046875
6500.0;51343.67;6.899026442307692
9000.0;69382.016;6.709112847222222
19158.0;144085.33;6.520896133469047
5000.0;36656.29;6.3312578125
5500.0;39797.266;6.235866477272728
6000.0;42058.605;6.009767578125
14108.0;94212.57;5.67795366547349
12000.0;79936.74;5.661395182291667
6000.0;38146.98;5.357830078125
10000.0;62702.47;5.270246875
15000.0;89690.15;4.979343229166667
21700.0;128504.76;4.9218782402073735
7000.0;41133.02;4.876145647321429
6700.0;37235.004;4.557463269589552
10500.0;57306.918;4.457801711309524
6101.16;33278.594;4.454469928669303
20000.0;107773.0;4.38865
19800.0;105305.664;4.318467881944445
5000.0;26590.785;4.31815703125
15700.0;83218.86;4.300564291401274
6000.0;30146.67;4.024444986979167
6000.0;29293.467;3.8822444661458335
8000.0;39002.164;3.8752705078125
23000.0;109878.22;3.7773138586956523
19000.0;89690.15;3.7205341282894735
6000.0;27392.219;3.5653697916666665
14900.0;67507.09;3.530677432885906
9000.0;40583.047;3.5092274305555557
6000.0;26998.543;3.499757161458333
6000.0;26975.164;3.4958606770833334
9500.0;41902.42;3.41078125
9000.0;39528.617;3.3920685763888887
8000.0;34919.863;3.36498291015625
13400.0;58455.23;3.3623306319962687
9000.0;39138.266;3.3486961805555557
10000.0;43442.855;3.344285546875
6500.0;28215.795;3.3408915264423076
12000.0;51953.83;3.3294856770833334
26000.0;110764.42;3.260170072115385
24000.0;100522.81;3.1884505208333334
10000.0;41730.047;3.1730046875
10000.0;41592.223;3.159222265625
27000.0;111811.875;3.1411805555555556
7000.0;28909.973;3.12999609375
17000.0;69890.48;3.1112045036764706
5472.5;22436.182;3.0998047767245316
12000.0;49028.008;3.0856673177083334
19600.0;79418.56;3.0519674744897958
54855.0;221535.48;3.038565023698842
10000.0;39689.336;2.96893359375
19000.0;75401.5;2.9685
9000.0;35353.586;2.928176215277778
9000.0;34885.77;2.8761966145833333
11000.0;42573.44;2.8703128551136365
14600.0;55535.59;2.8038075235445206
9000.0;34217.074;2.8018971354166666
5500.0;20612.984;2.747815340909091
25000.0;93333.32;2.7333328125
17000.0;63165.355;2.715609145220588
10000.0;36307.848;2.630784765625
15000.0;54410.06;2.6273372395833334
5000.0;18108.523;2.6217046875
18800.0;68015.0;2.6178191489361704
10850.0;38903.367;2.5855637960829494
5000.0;17910.336;2.5820671875
5900.0;20970.809;2.5543743379237287
8500.0;29519.553;2.472888556985294
11000.0;38112.348;2.464758877840909
8000.0;27625.414;2.4531767578125
25000.0;86088.79;2.4435515625
21500.0;73775.87;2.4314356831395347
6000.0;20564.215;2.427369140625
14000.0;47530.375;2.3950267857142857
5000.0;16885.67;2.377133984375
15000.0;50554.82;2.370321354166667
20000.0;67269.445;2.363472265625
11650.0;39181.16;2.3631897129828325
9000.0;30228.078;2.3586753472222224
10000.0;33385.32;2.33853203125
15000.0;49906.734;2.327115625
46300.0;153979.1;2.3256823704103673
5500.0;18260.03;2.3200053267045453
12000.0;39627.88;2.3023232421875
10000.0;32974.82;2.29748203125
8325.0;27448.53;2.297120636261261
24000.0;78876.81;2.2865338541666667
6000.0;19681.291;2.2802151692708335
10000.0;32630.562;2.26305625
10000.0;32627.049;2.2627048828125
17000.0;55108.52;2.2416776194852943
35000.0;113302.49;2.2372140625
11000.0;35603.5;2.236681818181818
6600.0;21167.828;2.2072466856060604
11000.0;35238.492;2.2034992897727275
100000.0;319788.47;2.1978846875
5000.0;15973.727;2.1947453125
5000.0;15950.665;2.1901330078125
15000.0;47851.055;2.1900703125
12800.0;40734.84;2.182409362792969
18000.0;57066.582;2.170365668402778
5780.0;18322.08;2.169910048118512
11500.0;36319.773;2.158241168478261
7000.0;22082.014;2.1545733816964288
18800.0;59043.59;2.140616481050532
41000.0;128102.18;2.124443407012195
12500.0;39027.63;2.1222103125
30000.0;93333.32;2.1111106770833334
12000.0;37202.695;2.100224609375
15000.0;46454.617;2.0969744791666667
10500.0;32414.336;2.0870796130952383
6300.0;19276.17;2.0597095114087303
7000.0;21393.895;2.0562706473214285
25000.0;76242.69;2.0497075
25000.0;76142.22;2.04568875
21600.0;65732.89;2.043189380787037
15000.0;45214.52;2.014301302083333
16000.0;47775.21;1.98595068359375
16000.0;47530.375;1.9706484375
13500.0;39930.332;1.9578023726851852
10000.0;29549.23;1.954923046875
