Darījuma summa, EUR;Pārdotā zemes kopplatība, m2;Būvju skaits;Būves virszemes stāvu skaits;Būves kopplatība, m2;Būves ekspluatācijas uzsākšanas gads;Būves fiziskais nolietojums, %;Telpu grupas platība, m2;Telpu skaits telpu grupā;Istabu skaits dzīvoklī;Telpu grupas vidējais stāvs;Gads;sezona_Pavasaris;sezona_Rudens;sezona_Vasara;sezona_Ziema;Platums;Garums
30000.0;36.56;3;2;306.9;1860;70;40.3;4;1;2.0;2019;0;0;0;1;56.9564258;24.1220448
31300.0;39.59;1;5;3372.7;1961;35;32.2;4;1;1.0;2019;0;0;0;1;56.9449141;24.0654569
60000.0;37.17;2;4;1667.0;1929;50;49.0;6;2;3.0;2019;0;0;0;1;56.9474742;24.060385
25000.0;19.69;3;4;1065.9;1898;60;23.7;3;1;1.0;2019;0;0;0;1;56.9558446;24.1532916
73000.0;23.73;1;5;2058.2;1910;45;49.9;4;2;4.0;2019;0;0;0;1;56.9586086;24.1456071
16000.0;23.96;3;4;395.7;1905;55;24.6;2;1;3.0;2019;0;1;0;0;56.938783;24.1454443
66500.0;32.46;1;9;8436.9;2007;0;59.5;5;2;5.0;2019;0;1;0;0;56.9409936;24.2201132
40000.0;61.32;1;5;4943.1;1967;25;55.3;9;3;4.0;2019;0;0;0;1;56.9517322;24.0500287
8100.0;62.8;1;3;1372.4;1910;50;53.0;5;2;-1.0;2019;0;0;0;1;56.9938717;24.129476
173000.0;32.15;2;7;2550.4;1910;55;96.7;7;3;4.0;2019;0;0;0;1;56.9588057;24.1168614
85000.0;47.12;4;7;3282.8;1910;50;72.4;9;3;1.0;2019;0;0;0;1;56.958418;24.1127962
16000.0;43.04;3;2;801.5;1880;65;16.1;2;1;1.0;2019;0;0;0;1;56.9748017;24.1407028
130000.0;46.91;1;9;3030.0;2019;0;66.5;6;3;9.0;2019;0;0;0;1;56.9692355;24.2377072
58000.0;24.66;1;6;1493.6;1912;28;46.5;3;2;3.0;2019;0;0;0;1;56.9508314;24.1278065
60000.0;63.46;1;10;6760.6;1975;20;50.0;7;2;5.0;2019;0;0;0;1;56.9642181;24.0019846
32005.0;29.39;1;5;6246.9;1904;35;82.1;3;1;5.0;2019;0;0;0;1;56.9440245;24.0794221
150000.0;55.22;5;7;2808.8;2006;0;74.5;7;2;4.0;2019;0;0;0;1;56.9655037;24.1009237
